date,variant,symbol,name,weight,state,state_code,upside,fair_price,close,factor,side
2025-08-08,B,600827,百联股份,0.2,观察,watch,1.3618538596065286,34.465714460913134,8.05,1.3618538596065286,long
2025-08-08,B,603391,力聚热能,0.2,观察,watch,1.3618538596065286,108.38768220598895,50.24,1.3618538596065286,long
2025-08-08,B,600597,光明乳业,0.2,观察,watch,1.299031789197299,19.65672179763691,7.1,1.299031789197299,long
2025-08-08,B,600600,青岛啤酒,0.2,观察,watch,0.8918345398338066,128.19070841913873,57.45,0.8918345398338066,long
2025-08-08,B,603668,天马科技,-0.2,观察,watch,-0.7935724175239531,2.8693433964170523,10.84,-0.7935724175239531,short
2025-08-08,B,002515,金字火腿,-0.2,观察,watch,-0.796515423419859,1.4956116378640363,6.36,-0.796515423419859,short
2025-08-08,B,002131,利欧股份,-0.2,观察,watch,-0.7978637221468167,0.5025019609184509,4.24,-0.7978637221468167,short
2025-08-08,B,002695,煌上煌,-0.2,观察,watch,-0.7978637221468167,2.9154938168223494,9.19,-0.7978637221468167,short
2025-08-08,B,603779,威龙股份,-0.2,观察,watch,-0.7978637221468167,0.06019835403494635,6.66,-0.7978637221468167,short
2025-08-15,B,002124,天邦食品,0.2,观察,watch,1.436775465864343,28.489037415770188,2.19,1.436775465864343,long
2025-08-15,B,600827,百联股份,0.2,观察,watch,1.436775465864343,35.425107059306754,8.05,1.436775465864343,long
2025-08-15,B,603391,力聚热能,0.2,观察,watch,1.436775465864343,114.45326214490478,50.24,1.436775465864343,long
2025-08-15,B,600597,光明乳业,0.2,观察,watch,1.3575250112557966,20.203989346462176,7.1,1.3575250112557966,long
2025-08-15,B,601949,中国出版,0.2,观察,watch,0.9608645115480574,13.137792227371985,5.36,0.9608645115480574,long
2025-08-15,B,600272,开开实业,-0.2,观察,watch,-0.7780953418794951,3.0267795367636863,10.3,-0.7780953418794951,short
2025-08-15,B,603668,天马科技,-0.2,观察,watch,-0.7834634801288936,2.9492274006444688,10.84,-0.7834634801288936,short
2025-08-15,B,002131,利欧股份,-0.2,观察,watch,-0.7842110681377693,0.5164917823512942,4.24,-0.7842110681377693,short
2025-08-15,B,002515,金字火腿,-0.2,观察,watch,-0.7842110681377693,1.5316408226384075,6.36,-0.7842110681377693,short
2025-08-15,B,603779,威龙股份,-0.2,观察,watch,-0.7842110681377693,0.061874307448049816,6.66,-0.7842110681377693,short
2025-08-22,B,002124,天邦食品,0.2,观察,watch,1.5,28.545408845517994,2.19,1.5,long
2025-08-22,B,600827,百联股份,0.2,观察,watch,1.5,36.81440932098175,8.05,1.5,long
2025-08-22,B,603391,力聚热能,0.2,观察,watch,1.5,122.65787166220086,50.24,1.5,long
2025-08-22,B,600597,光明乳业,0.2,观察,watch,1.3886576898081109,20.996301093413294,7.1,1.3886576898081109,long
2025-08-22,B,600600,青岛啤酒,0.2,观察,watch,0.9969022099157876,136.92758453392554,57.45,0.9969022099157876,long
2025-08-22,B,002494,华斯股份,-0.2,观察,watch,-0.7755861483880919,1.1781727209625172,4.33,-0.7755861483880919,short
2025-08-22,B,603668,天马科技,-0.2,观察,watch,-0.7762850539019732,3.0648947615429667,10.84,-0.7762850539019732,short
2025-08-22,B,002131,利欧股份,-0.2,观察,watch,-0.7779601587541767,0.536748414882163,4.24,-0.7779601587541767,short
2025-08-22,B,002194,武汉凡谷,-0.2,观察,watch,-0.7779601587541767,1.5398712110230741,8.67,-0.7779601587541767,short
2025-08-22,B,002515,金字火腿,-0.2,观察,watch,-0.7779601587541767,1.5375234719162494,6.36,-0.7779601587541767,short
2025-08-29,B,002124,天邦食品,0.2,观察,watch,1.5,26.938511254158207,2.19,1.5,long
2025-08-29,B,002891,中宠股份,0.2,缩量回踩确认,confirming,1.5,155.08451021761405,32.55,1.5,long
2025-08-29,B,600826,兰生股份,0.2,观察,watch,1.5,49.351211009234916,7.77,1.5,long
2025-08-29,B,600827,百联股份,0.2,观察,watch,1.5,36.72133002516697,8.05,1.5,long
