date,variant,symbol,name,weight,state,state_code,upside,fair_price,close,side
2025-09-26,B,000957,中通客车,0.1,观察,watch,1.1947279854092563,24.16395511935591,10.59,long
2025-09-26,B,600576,祥源文旅,0.1,观察,watch,1.1559983181475348,16.859906847913724,5.45,long
2025-09-26,B,601949,中国出版,0.1,观察,watch,1.070221795560287,14.20172151754357,5.36,long
2025-09-26,B,000905.SH,中证500,-1.0,,,,,7240.9114,short_index
2025-09-30,B,002124,天邦食品,0.1,观察,watch,1.5,25.190077852990843,2.19,long
2025-09-30,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,151.66890101596192,32.55,long
2025-09-30,B,600597,光明乳业,0.1,观察,watch,1.5,21.590851074738936,7.1,long
2025-09-30,B,600826,兰生股份,0.1,观察,watch,1.5,86.47719137784858,7.77,long
2025-09-30,B,600827,百联股份,0.1,观察,watch,1.5,40.66091719208909,8.05,long
2025-09-30,B,603391,力聚热能,0.1,观察,watch,1.5,173.03017526231054,50.24,long
2025-09-30,B,600600,青岛啤酒,0.1,观察,watch,1.3144540656863248,152.56881201004254,57.45,long
2025-09-30,B,000957,中通客车,0.1,观察,watch,1.279980416008399,25.056984771932306,10.59,long
2025-09-30,B,600576,祥源文旅,0.1,观察,watch,1.2061559402408366,17.03152385865926,5.45,long
2025-09-30,B,601949,中国出版,0.1,观察,watch,1.1849490659675532,14.72655670462131,5.36,long
2025-09-30,B,000905.SH,中证500,-1.0,,,,,7412.3684,short_index
2025-10-10,B,002124,天邦食品,0.1,观察,watch,1.5,25.392737203213862,2.19,long
2025-10-10,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,151.66880654504195,32.55,long
2025-10-10,B,600826,兰生股份,0.1,观察,watch,1.5,81.89417262784731,7.77,long
2025-10-10,B,600827,百联股份,0.1,观察,watch,1.5,39.4159732548276,8.05,long
2025-10-10,B,603391,力聚热能,0.1,观察,watch,1.5,177.15457759859888,50.24,long
2025-10-10,B,600597,光明乳业,0.1,观察,watch,1.433680700291788,20.929654022509375,7.1,long
2025-10-10,B,600576,祥源文旅,0.1,观察,watch,1.206297118516098,16.591354331241057,5.45,long
2025-10-10,B,600600,青岛啤酒,0.1,观察,watch,1.1933370399867762,147.89671660630833,57.45,long
2025-10-10,B,000957,中通客车,0.1,观察,watch,1.1250843229654506,24.2897138114951,10.59,long
2025-10-10,B,601949,中国出版,0.1,观察,watch,1.0931966805613982,14.275601361428736,5.36,long
2025-10-10,B,000905.SH,中证500,-1.0,,,,,7398.2241,short_index
2025-10-17,B,002124,天邦食品,0.1,观察,watch,1.5,24.730094409937887,2.19,long
2025-10-17,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,154.3089644781034,32.55,long
2025-10-17,B,600576,祥源文旅,0.1,观察,watch,1.5,17.78497766633651,5.45,long
2025-10-17,B,600826,兰生股份,0.1,观察,watch,1.5,89.66501932758001,7.77,long
2025-10-17,B,600827,百联股份,0.1,观察,watch,1.5,39.108972796431274,8.05,long
2025-10-17,B,603391,力聚热能,0.1,观察,watch,1.5,166.34895036662672,50.24,long
2025-10-17,B,600597,光明乳业,0.1,观察,watch,1.4402837532716997,20.766814740342163,7.1,long
2025-10-17,B,600600,青岛啤酒,0.1,观察,watch,1.1708020225437688,146.74621672395875,57.45,long
2025-10-17,B,601949,中国出版,0.1,观察,watch,1.1396602924302042,14.164551135887951,5.36,long
2025-10-17,B,000957,中通客车,0.1,观察,watch,0.9690060546733377,24.100634109201653,10.59,long
2025-10-17,B,000905.SH,中证500,-1.0,,,,,7016.0661,short_index
2025-10-24,B,002124,天邦食品,0.1,观察,watch,1.5,25.595016059632748,2.19,long
2025-10-24,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,159.32533074338232,32.55,long
2025-10-24,B,600576,祥源文旅,0.1,观察,watch,1.5,18.885359786339293,5.45,long
2025-10-24,B,600826,兰生股份,0.1,观察,watch,1.5,99.8270805276266,7.77,long
2025-10-24,B,600827,百联股份,0.1,观察,watch,1.5,40.109564349587465,8.05,long
2025-10-24,B,603391,力聚热能,0.1,观察,watch,1.5,172.08328397889133,50.24,long
2025-10-24,B,600597,光明乳业,0.1,观察,watch,1.490991116900251,21.29797404949715,7.1,long
2025-10-24,B,600600,青岛啤酒,0.1,观察,watch,1.2771855228594498,150.49919120578105,57.45,long
