date,symbol,combo_id,state_code,state,score,entry,close,stock_name,pattern_ok,pe_ttm,pb,fair_price,upside,upside_raw,undervalued,pe_ref,industry,close_basic
2026-04-10,605589,6,invalid,作废,5.0,False,36.12,圣泉集团,False,29.521,3.0089,48.59041831238779,0.3308797127468581,0.3308797127468581,True,39.2889,化工原料,36.51
2026-04-17,000008,6,candidate,止跌缩量候选,6.0,False,2.71,神州高铁,False,,2.5114,,,,False,35.6717,运输设备,2.71
2026-04-17,000417,6,watch,观察,0.0,False,6.65,合百集团,False,33.9123,1.1105,7.04760190255453,0.051880880978288024,0.051880880978288024,True,35.6717,百货,6.7
2026-04-17,000430,6,watch,观察,0.0,False,7.98,张家界,False,,3.5553,,,,False,75.8862,旅游景点,7.98
2026-04-17,000596,4,watch,观察,0.0,False,101.35,古井贡酒,False,11.7654,2.2325,122.84328752103626,0.16660292042769487,0.16660292042769487,True,13.72555,白酒,105.3
2026-04-17,000681,6,watch,观察,0.0,False,21.02,视觉中国,False,177.3646,4.0754,4.227558001991379,-0.7930148061563443,-0.7988792577549296,False,35.6717,互联网,21.02
2026-04-17,000793,6,candidate,止跌缩量候选,6.0,False,2.68,*ST华闻,False,,48.9986,,,,False,35.6717,出版业,2.81
2026-04-17,000929,6,invalid,作废,5.0,False,10.19,兰州黄河,False,,5.1797,,,,False,35.6717,啤酒,10.19
2026-04-17,000957,4,watch,观察,0.0,False,12.0,中通客车,False,21.6037,2.3143,19.913288094169058,0.6511847507602866,0.6511847507602866,True,35.6717,汽车整车,12.06
2026-04-17,000980,6,candidate,止跌缩量候选,6.0,False,2.09,众泰汽车,False,,837.5662,,,,False,35.6717,汽车配件,2.09
2026-04-17,001211,6,entry,建仓,62.0,True,22.89,双枪科技,True,100.8265,2.6491,11.250614273033381,-0.6462070983322836,-0.6462070983322836,False,35.6717,家居用品,31.8
2026-04-17,001215,6,candidate,止跌缩量候选,6.0,False,39.49,千味央厨,False,68.6212,2.0546,15.585501608832255,-0.6053304226682134,-0.6053304226682134,False,27.0827,食品,39.49
2026-04-17,001313,6,trial,试仓·放量破压,32.0,False,8.43,粤海饲料,True,718.3469,2.3143,1.757244515846035,-0.7915486932566981,-0.7915486932566981,False,149.74035,饲料,8.43
2026-04-17,002023,6,watch,观察,0.0,False,12.93,海特高新,False,74.8461,2.1921,6.16244642005395,-0.523399348797065,-0.523399348797065,False,35.6717,航空,12.93
2026-04-17,002124,6,watch,观察,0.0,False,3.08,天邦食品,False,18.1684,1.7391,7.796764932520201,1.5,1.531417185883182,True,45.9918,农业综合,3.08
2026-04-17,002131,6,watch,观察,0.0,False,7.92,利欧股份,False,110.1967,4.0823,2.5767262722023436,-0.6762906693213135,-0.6762906693213135,False,35.6717,互联网,7.96
2026-04-17,002187,4,watch,观察,0.0,False,6.24,广百股份,False,,1.1022,,,,False,35.6717,百货,6.24
2026-04-17,002194,6,candidate,止跌缩量候选,6.0,False,10.79,武汉凡谷,False,,2.9665,,,,False,35.6717,通信设备,10.79
2026-04-17,002306,6,invalid,作废,5.0,False,2.41,ST云网,False,,30.2241,,,,False,35.6717,酒店餐饮,2.41
2026-04-17,002354,6,watch,观察,0.0,False,5.74,天娱数科,False,,7.3933,,,,False,35.6717,互联网,5.74
2026-04-17,002494,6,candidate,止跌缩量候选,6.0,False,5.39,华斯股份,False,98.9996,1.6276,1.9421337358938824,-0.6396783421347156,-0.6396783421347156,False,35.6717,服饰,5.39
2026-04-17,002515,6,trial,试仓·放量破压,32.0,False,6.39,金字火腿,True,142.5848,2.9678,1.215622422586419,-0.7930148061563443,-0.8100589964708721,False,27.0827,食品,6.4
2026-04-17,002534,6,watch,观察,0.0,False,18.55,西子洁能,False,35.6717,2.7768,22.459334906943038,0.2055466938777799,0.2055466938777799,True,43.0039,专用机械,18.63
2026-04-17,002650,6,candidate,止跌缩量候选,6.0,False,7.26,ST加加,False,,4.8656,,,,False,27.0827,食品,7.26
2026-04-17,002661,4,watch,观察,0.0,False,8.7,克明食品,False,25.7332,1.2933,9.324635956662988,0.05244198156467128,0.05244198156467128,True,27.0827,食品,8.86
2026-04-17,002682,6,invalid,作废,5.0,False,5.94,龙洲股份,False,,3.1017,,,,False,35.6717,仓储物流,5.94
2026-04-17,002695,6,candidate,止跌缩量候选,6.0,False,11.24,煌上煌,False,100.9683,2.2594,3.0390428580059283,-0.7317702684902093,-0.7317702684902093,False,27.0827,食品,11.33
2026-04-17,002696,6,candidate,止跌缩量候选,6.0,False,6.8,百洋股份,False,46.1738,1.7314,22.246789326414547,1.5,2.242972205016698,True,149.74035,饲料,6.86
2026-04-17,002891,4,watch,观察,0.0,False,41.59,中宠股份,False,30.2338,3.9901,207.07433513154155,1.5,3.952746594870642,True,149.74035,饲料,41.81
2026-04-17,002910,6,watch,观察,0.0,False,10.66,庄园牧场,False,,1.9978,,,,False,35.6717,乳制品,10.66
2026-04-17,002946,4,watch,观察,0.0,False,17.67,新乳业,False,21.2831,4.0955,30.303120128176815,0.6760575292133195,0.6760575292133195,True,35.6717,乳制品,18.08
2026-04-17,002967,6,candidate,止跌缩量候选,6.0,False,21.95,广电计量,False,33.2497,2.879,23.76346718917765,0.07284276249109034,0.07284276249109034,True,35.6717,电器仪表,22.15
2026-04-17,003005,6,watch,观察,0.0,False,18.0,竞业达,False,,2.3277,,,,False,35.6717,软件服务,18.08
2026-04-17,003032,4,watch,观察,0.0,False,6.38,传智教育,False,,2.0484,,,,False,165.2347,文教休闲,6.38
2026-04-17,600059,4,watch,观察,0.0,False,8.82,古越龙山,False,39.5104,1.3983,8.053362253988825,-0.09715669798331572,-0.09715669798331572,False,35.6717,红黄酒,8.92
2026-04-17,600113,6,invalid,作废,5.0,False,47.19,浙江东日,False,137.9621,7.9558,12.201521454080504,-0.7414384095342126,-0.7414384095342126,False,35.6717,区域地产,47.19
2026-04-17,600186,6,invalid,作废,5.0,False,7.39,莲花控股,False,45.7587,7.4204,4.669767781864432,-0.4081409655431645,-0.4081409655431645,False,27.0827,食品,7.89
2026-04-17,600197,4,watch,观察,0.0,False,11.95,伊力特,False,31.0666,1.4809,5.279635444496662,-0.5581895025525806,-0.5581895025525806,False,13.72555,白酒,11.95
2026-04-17,600238,6,invalid,作废,5.0,False,4.67,*ST椰岛,False,,20.6237,,,,False,35.6717,红黄酒,4.67
2026-04-17,600272,6,candidate,止跌缩量候选,6.0,False,12.26,开开实业,False,249.1001,4.1498,1.757091863873198,-0.7930148061563443,-0.8567977291056889,False,35.6717,医药商业,12.27
2026-04-17,600415,4,watch,观察,0.0,False,11.63,小商品城,False,15.8759,2.9081,27.34488054220548,1.2469088366643781,1.2469088366643781,True,35.6717,商品城,12.17
2026-04-17,600543,6,candidate,止跌缩量候选,6.0,False,4.78,*ST莫高,False,,2.0204,,,,False,35.6717,红黄酒,4.78
2026-04-17,600576,6,watch,观察,0.0,False,6.0,祥源文旅,False,32.8514,2.1302,13.859902469909958,1.3099837449849931,1.3099837449849931,True,75.8862,旅游景点,6.0
2026-04-17,600597,4,watch,观察,0.0,False,7.44,光明乳业,False,,1.1169,,,,False,35.6717,乳制品,7.44
2026-04-17,600600,4,watch,观察,0.0,False,59.3,青岛啤酒,False,18.4198,2.7574,119.97208520179375,0.9365954027731032,0.9365954027731032,True,35.6717,啤酒,61.95
2026-04-17,600712,4,watch,观察,0.0,False,5.97,南宁百货,False,,4.3047,,,,False,35.6717,百货,5.97
2026-04-17,600730,6,candidate,止跌缩量候选,6.0,False,8.6,*ST高科,False,596.5276,2.8159,2.3821503313509718,-0.7230057754243056,-0.7230057754243056,False,165.2347,文教休闲,8.6
2026-04-17,600749,6,watch,观察,0.0,False,20.3,西藏旅游,False,157.7728,4.2823,9.763976173332795,-0.5190159520525717,-0.5190159520525717,False,75.8862,旅游景点,20.3
2026-04-17,600783,6,invalid,作废,5.0,False,21.26,鲁信创投,False,91.9966,3.3526,9.970729211731737,-0.5325490289858539,-0.5325490289858539,False,43.0039,专用机械,21.33
2026-04-17,600809,4,watch,观察,0.0,False,132.77,山西汾酒,False,13.8391,4.3885,138.35540064021504,-0.0082050133317918,-0.0082050133317918,False,13.72555,白酒,139.5
2026-04-17,600814,4,watch,观察,0.0,False,7.66,杭州解百,False,25.3794,1.5243,10.892916105187673,0.4055375619596997,0.4055375619596997,True,35.6717,百货,7.75
2026-04-17,600826,6,candidate,止跌缩量候选,6.0,False,9.28,兰生股份,False,24.4684,1.6445,64.1533426787203,1.5,5.752983439865296,True,165.2347,文教休闲,9.5
2026-04-17,600827,4,watch,观察,0.0,False,8.07,百联股份,False,23.2676,0.7201,12.61746338255772,0.5331061218174629,0.5331061218174629,True,35.6717,超市连锁,8.23
2026-04-17,600841,6,candidate,止跌缩量候选,6.0,False,9.58,动力新科,False,4.6293,2.0835,73.8199913593848,1.5,6.705635841271899,True,35.6717,汽车配件,9.58
2026-04-17,600883,6,watch,观察,0.0,False,7.94,博闻科技,False,52.2987,1.9184,5.436147533303887,-0.3179237724838284,-0.3179237724838284,False,35.6717,种植业,7.97
2026-04-17,600965,6,watch,观察,0.0,False,5.49,*ST福成,False,58.7167,2.066,4.300224331408271,-0.21671687952490526,-0.21671687952490526,False,45.9918,农业综合,5.49
2026-04-17,601007,4,watch,观察,0.0,False,7.95,金陵饭店,False,49.925,1.9703,5.80178676014021,-0.28549424136204304,-0.28549424136204304,False,35.6717,酒店餐饮,8.12
2026-04-17,601949,4,watch,观察,0.0,False,6.16,中国出版,False,21.0098,1.2397,10.662561090538702,0.6978600462641245,0.6978600462641245,True,35.6717,出版业,6.28
2026-04-17,601956,6,candidate,止跌缩量候选,6.0,False,6.6,东贝集团,False,32.6941,1.6459,7.353842375229783,0.09107453638424068,0.09107453638424068,True,35.6717,家用电器,6.74
2026-04-17,603020,6,candidate,止跌缩量候选,6.0,False,11.37,爱普股份,False,24.0756,1.327,12.880132374686402,0.12490239080230592,0.12490239080230592,True,27.0827,食品,11.45
2026-04-17,603031,6,watch,观察,0.0,False,39.55,安孚科技,False,65.5527,5.4581,31.267909361475574,-0.45583172012747,-0.45583172012747,False,35.6717,电气设备,57.46
2026-04-17,603043,4,watch,观察,0.0,False,14.89,广州酒家,False,17.868,2.2148,23.235828912021493,0.5157096485336916,0.5157096485336916,True,27.0827,食品,15.33
2026-04-17,603081,6,watch,观察,0.0,False,12.32,大丰实业,False,50.3361,1.6387,10.593755972353838,-0.14566484093920662,-0.14566484093920662,False,43.0039,专用机械,12.4
2026-04-17,603099,4,watch,观察,0.0,False,35.89,长白山,False,75.8862,6.559,36.04,0.0,0.0,False,75.8862,旅游景点,36.04
2026-04-17,603206,6,watch,观察,0.0,False,17.26,嘉环科技,False,106.9564,2.3301,5.776501864311065,-0.6664837260790378,-0.6664837260790378,False,35.6717,通信设备,17.32
2026-04-17,603231,6,watch,观察,0.0,False,17.43,索宝蛋白,False,19.3211,1.7455,24.922515074193495,0.40171625839108516,0.40171625839108516,True,27.0827,食品,17.78
2026-04-17,603345,4,watch,观察,0.0,False,91.24,安井食品,False,22.7524,1.9962,110.45005067597265,0.19032277913538787,0.19032277913538787,True,27.0827,食品,92.79
2026-04-17,603389,6,watch,观察,0.0,False,51.08,亚振家居,False,,57.3786,,,,False,35.6717,家居用品,51.08
2026-04-17,603391,6,watch,观察,0.0,False,63.63,力聚热能,False,26.2437,2.618,106.75720591989698,0.6386370824235912,0.6386370824235912,True,43.0039,专用机械,65.15
2026-04-17,603466,6,watch,观察,0.0,False,9.53,风语筑,False,165.2347,2.6959,9.55,0.0,0.0,False,165.2347,文教休闲,9.55
2026-04-17,603589,4,watch,观察,0.0,False,24.09,口子窖,False,13.612,1.4123,24.93629529091978,0.008341904202174621,0.008341904202174621,True,13.72555,白酒,24.73
2026-04-17,603636,6,watch,观察,0.0,False,9.33,南威软件,False,,2.4085,,,,False,35.6717,软件服务,9.33
2026-04-17,603660,6,candidate,止跌缩量候选,6.0,False,10.01,苏州科达,False,,5.8829,,,,False,35.6717,IT设备,10.01
2026-04-17,603668,6,candidate,止跌缩量候选,6.0,False,13.72,天马科技,False,253.3069,2.9456,8.110468376502968,-0.40885799005080403,-0.40885799005080403,False,149.74035,饲料,13.72
2026-04-17,603721,6,watch,观察,0.0,False,22.13,中广天择,False,,6.2743,,,,False,35.6717,影视音像,22.2
2026-04-17,603739,6,candidate,止跌缩量候选,6.0,False,15.07,蔚蓝生物,False,45.9918,2.1665,15.19,0.0,0.0,False,45.9918,农业综合,15.19
2026-04-17,603755,6,watch,观察,0.0,False,28.71,日辰股份,False,33.6205,3.9322,23.127089632813313,-0.19445873797236812,-0.19445873797236812,False,27.0827,食品,28.71
2026-04-17,603777,6,trial,试仓·放量破压,32.0,False,17.0,来伊份,True,,3.5862,,,,False,27.0827,食品,17.0
2026-04-17,603779,6,candidate,止跌缩量候选,6.0,False,6.31,威龙股份,False,,3.8306,,,,False,35.6717,红黄酒,6.31
2026-04-17,605016,6,candidate,止跌缩量候选,6.0,False,26.13,百龙创园,False,27.0827,5.3035,26.29,0.0,0.0,False,27.0827,食品,26.29
2026-04-17,605108,4,watch,观察,0.0,False,16.48,同庆楼,False,92.3309,1.9379,6.432665608155016,-0.6136537172279269,-0.6136537172279269,False,35.6717,酒店餐饮,16.65
2026-04-17,605388,4,watch,观察,0.0,False,8.87,均瑶健康,False,,3.1045,,,,False,35.6717,乳制品,8.87
2026-04-17,605589,6,watch,观察,0.0,False,38.21,圣泉集团,False,31.2271,3.1828,44.116842550220795,0.14233150052358368,0.14233150052358368,True,35.6717,化工原料,38.62
2026-04-24,000008,6,invalid,作废,5.0,False,2.66,神州高铁,False,,3.3032,,,,False,44.0934,运输设备,2.66
2026-04-24,000417,6,candidate,止跌缩量候选,6.0,False,6.26,合百集团,False,30.7154,1.047,9.058301503480338,0.43554698945805703,0.43554698945805703,True,44.0934,百货,6.31
2026-04-24,000430,6,candidate,止跌缩量候选,6.0,False,7.85,张家界,False,,3.4973,,,,False,70.8327,旅游景点,7.85
2026-04-24,000596,4,watch,观察,0.0,False,105.39,古井贡酒,False,12.2347,2.3215,203.69871145185414,0.8602622050397639,0.8602622050397639,True,22.75975,白酒,109.5
2026-04-24,000681,6,watch,观察,0.0,False,20.41,视觉中国,False,172.2175,3.9571,5.225637893942254,-0.7439667861860728,-0.7439667861860728,False,44.0934,互联网,20.41
2026-04-24,000793,6,candidate,止跌缩量候选,6.0,False,2.8,*ST华闻,False,,51.091,,,,False,44.0934,出版业,2.93
2026-04-24,000929,6,invalid,作废,5.0,False,10.49,兰州黄河,False,,5.3322,,,,False,44.0934,啤酒,10.49
2026-04-24,000957,4,watch,观察,0.0,False,12.12,中通客车,False,21.8366,2.3393,24.614571224458018,1.0192429224329795,1.0192429224329795,True,44.0934,汽车整车,12.19
2026-04-24,000980,6,watch,观察,0.0,False,2.1,众泰汽车,False,,841.5737,,,,False,44.0934,汽车配件,2.1
2026-04-24,001211,6,entry,建仓,62.0,True,22.89,双枪科技,True,109.5457,2.8782,13.906771055367761,-0.597488536747677,-0.597488536747677,False,44.0934,家居用品,34.55
2026-04-24,001215,6,watch,观察,0.0,False,43.11,千味央厨,False,74.9116,2.243,19.13896946534315,-0.556043389808788,-0.556043389808788,False,33.2575,食品,43.11
2026-04-24,001313,6,confirming,缩量回踩确认,42.0,False,8.37,粤海饲料,True,727.7204,2.3445,1.7440416154336196,-0.7716793633513241,-0.7957796703239322,False,148.6153,饲料,8.54
2026-04-24,002023,6,watch,观察,0.0,False,12.4,海特高新,False,71.7782,2.1023,7.617328938312748,-0.3856992791683268,-0.3856992791683268,False,44.0934,航空,12.4
2026-04-24,002124,6,invalid,作废,5.0,False,2.59,天邦食品,False,15.278,1.4624,7.550380612645633,1.5,1.915204869747349,True,44.5385,农业综合,2.59
2026-04-24,002131,6,watch,观察,0.0,False,7.33,利欧股份,False,102.0288,3.7798,3.1850649816522396,-0.5678337881068874,-0.5678337881068874,False,44.0934,互联网,7.37
2026-04-24,002187,4,watch,观察,0.0,False,5.96,广百股份,False,,1.0527,,,,False,44.0934,百货,5.96
2026-04-24,002194,6,watch,观察,0.0,False,11.27,武汉凡谷,False,,3.0985,,,,False,44.0934,通信设备,11.27
2026-04-24,002306,6,invalid,作废,5.0,False,2.31,ST云网,False,,28.97,,,,False,44.0934,酒店餐饮,2.31
2026-04-24,002354,6,watch,观察,0.0,False,5.56,天娱数科,False,,7.7473,,,,False,44.0934,互联网,5.56
2026-04-24,002494,6,candidate,止跌缩量候选,6.0,False,5.53,华斯股份,False,101.571,1.6699,2.40065079599492,-0.565885932008152,-0.565885932008152,False,44.0934,服饰,5.53
2026-04-24,002515,6,confirming,缩量回踩确认,42.0,False,6.36,金字火腿,True,141.9164,2.9539,1.4927821943059434,-0.7656542866081721,-0.7656542866081721,False,33.2575,食品,6.37
2026-04-24,002534,6,watch,观察,0.0,False,18.46,西子洁能,False,35.4994,2.7634,31.168747499957746,0.6811622168261999,0.6811622168261999,True,59.68025,专用机械,18.54
2026-04-24,002650,6,invalid,作废,5.0,False,7.34,ST加加,False,,4.9192,,,,False,33.2575,食品,7.34
2026-04-24,002661,4,watch,观察,0.0,False,8.59,克明食品,False,25.4137,1.2772,11.45063981238466,0.30864454998681823,0.30864454998681823,True,33.2575,食品,8.75
2026-04-24,002682,6,watch,观察,0.0,False,5.71,龙洲股份,False,,5.3072,,,,False,44.0934,仓储物流,5.71
2026-04-24,002695,6,invalid,作废,5.0,False,11.52,煌上煌,False,101.9486,2.2814,3.73193746652725,-0.6737816899888767,-0.6737816899888767,False,33.2575,食品,11.44
2026-04-24,002696,6,candidate,止跌缩量候选,6.0,False,6.74,百洋股份,False,45.7699,1.7163,22.079664583055674,1.5,2.2470094975081873,True,148.6153,饲料,6.8
2026-04-24,002891,4,watch,观察,0.0,False,38.08,中宠股份,False,35.5029,3.5864,160.2402531624177,1.5,3.1860045235741303,True,148.6153,饲料,38.28
2026-04-24,002910,6,watch,观察,0.0,False,10.7,庄园牧场,False,,2.0053,,,,False,44.0934,乳制品,10.7
2026-04-24,002946,4,watch,观察,0.0,False,17.89,新乳业,False,21.5538,4.1476,37.45743924505192,1.0457367146396463,1.0457367146396463,True,44.0934,乳制品,18.31
2026-04-24,002967,6,watch,观察,0.0,False,21.56,广电计量,False,31.7586,2.8181,30.211419395061498,0.3883924354348114,0.3883924354348114,True,44.0934,电器仪表,21.76
2026-04-24,003005,6,watch,观察,0.0,False,18.15,竞业达,False,,2.3471,,,,False,44.0934,软件服务,18.23
2026-04-24,003032,4,watch,观察,0.0,False,6.38,传智教育,False,,2.0484,,,,False,44.0934,文教休闲,6.38
2026-04-24,600059,4,watch,观察,0.0,False,8.96,古越龙山,False,36.6945,1.4001,10.898830560438215,0.2016351224297921,0.2016351224297921,True,44.0934,红黄酒,9.07
2026-04-24,600113,6,invalid,作废,5.0,False,45.3,浙江东日,False,132.4366,7.6372,15.082167769332646,-0.6670603141427671,-0.6670603141427671,False,44.0934,区域地产,45.3
2026-04-24,600186,6,invalid,作废,5.0,False,7.39,莲花控股,False,46.6036,8.6792,6.522533666927019,-0.28637487232745973,-0.28637487232745973,False,33.2575,食品,9.14
2026-04-24,600197,4,watch,观察,0.0,False,12.07,伊力特,False,31.3786,1.4958,8.754698504713405,-0.27467286622092757,-0.27467286622092757,False,22.75975,白酒,12.07
2026-04-24,600238,6,invalid,作废,5.0,False,4.98,*ST椰岛,False,,21.9927,,,,False,44.0934,红黄酒,4.98
2026-04-24,600272,6,invalid,作废,5.0,False,12.14,开开实业,False,246.6639,4.1092,2.1719222391278175,-0.7716793633513241,-0.8212409679730192,False,44.0934,医药商业,12.15
