date,close,pct
2026-07-15,4786.7828,-0.2026
2026-07-16,4698.4344,-1.8457
2026-07-17,4529.0953,-3.6042
2026-07-20,4598.3208,1.5285
2026-07-21,4739.2287,3.0643
2026-07-22,4717.2442,-0.4639
2026-07-23,4728.0018,0.228
2026-07-24,4649.1917,-1.6669
2026-07-27,4702.4272,1.145
2026-07-28,4569.5235,-2.8263
2026-07-29,4600.2624,0.6727
2026-07-30,4549.7201,-1.0987
2026-07-31,4588.1968,0.8457
2026-08-03,4543.1781,-0.9812
2026-08-04,4600.9304,1.2712
2026-08-05,4658.1549,1.2438
2026-08-06,4651.3098,-0.1469
2026-08-07,4694.4365,0.9272
2026-08-10,4702.0247,0.1616
2026-08-11,4663.7887,-0.8132
2026-08-12,4690.9165,0.5817
2026-08-13,4663.9513,-0.5748
2026-08-14,4665.8812,0.0414
2026-08-17,4741.0981,1.6121
2026-08-18,4725.8134,-0.3224
2026-08-19,4588.6955,-2.9015
2026-08-20,4592.7504,0.0884
2026-08-21,4618.8952,0.5693
2026-08-24,4563.1266,-1.2074
2026-08-25,4552.0326,-0.2431
2026-08-26,4590.7935,0.8515
2026-08-27,4630.277,0.8601
2026-08-28,4609.1764,-0.4557
2026-08-31,4625.0862,0.3452
2026-09-01,4611.4394,-0.2951
