date,symbol,name,strength,rs_index,rs_sector,stock_pct,hs300_pct,sector_code,sector_name,sector_pct,close,rank
2026-03-17,000524,岭南控股,28,-1.3498,-1.0302,-2.0802,-0.7304,801993.SI,旅游及景区,-1.05,13.18,18
2026-03-17,600985,淮北矿业,27,-1.8954,-0.5158,-2.6258,-0.7304,801951.SI,煤炭开采,-2.11,13.35,19
2026-03-17,600989,宝丰能源,15,-2.6856,-1.056,-3.416,-0.7304,801033.SI,化学原料,-2.36,31.95,20
2026-03-17,002696,百洋股份,11,-3.0604,-1.0308,-3.7908,-0.7304,801014.SI,饲料,-2.76,7.36,21
2026-03-17,000933,神火股份,0,-6.1958,-5.2462,-6.9262,-0.7304,801055.SI,工业金属,-1.68,32.52,22
2026-03-17,002128,电投能源,0,-3.6393,-2.2597,-4.3697,-0.7304,801951.SI,煤炭开采,-2.11,30.42,23
2026-03-17,600131,国网信通,0,-4.2457,-2.3361,-4.9761,-0.7304,801103.SI,IT服务Ⅱ,-2.64,19.86,24
2026-03-18,002345,潮宏基,90,2.1837,2.3042,2.6342,0.4505,801133.SI,饰品,0.33,10.13,1
2026-03-18,000524,岭南控股,68,0.46,1.7105,0.9105,0.4505,801993.SI,旅游及景区,-0.8,13.3,2
2026-03-18,002696,百洋股份,63,0.2288,1.3593,0.6793,0.4505,801014.SI,饲料,-0.68,7.41,3
2026-03-18,000056,*ST皇庭,62,0.052,1.4325,0.5025,0.4505,801183.SI,房地产服务,-0.93,2.0,4
2026-03-18,603231,索宝蛋白,61,0.2199,1.1204,0.6704,0.4505,801012.SI,农产品加工,-0.45,18.02,5
2026-03-18,600661,昂立教育,59,0.7364,0.2569,1.1869,0.4505,801994.SI,教育,0.93,10.23,6
2026-03-18,603257,中国瑞林,57,0.5614,0.1519,1.0119,0.4505,801726.SI,工程咨询服务Ⅱ,0.86,62.89,7
2026-03-18,600531,豫光金铅,50,-0.5904,0.8001,-0.1399,0.4505,801055.SI,工业金属,-0.94,14.28,8
2026-03-18,600667,太极实业,50,0.1545,-0.255,0.605,0.4505,801726.SI,工程咨询服务Ⅱ,0.86,11.64,9
2026-03-18,603099,长白山,50,-0.5575,0.693,-0.107,0.4505,801993.SI,旅游及景区,-0.8,37.35,10
2026-03-18,600999,招商证券,46,-0.5779,0.1626,-0.1274,0.4505,801193.SI,证券Ⅱ,-0.29,15.68,11
2026-03-18,600131,国网信通,42,0.9594,-2.1801,1.4099,0.4505,801103.SI,IT服务Ⅱ,3.59,20.14,12
2026-03-18,000623,吉林敖东,38,-0.8862,-0.3757,-0.4357,0.4505,801155.SI,中药Ⅱ,-0.06,18.28,13
2026-03-18,000959,首钢股份,37,-1.241,-0.1305,-0.7905,0.4505,801044.SI,普钢,-0.66,5.02,14
2026-03-18,600887,伊利股份,37,-1.1439,-0.1934,-0.6934,0.4505,801127.SI,饮料乳品,-0.5,25.78,15
2026-03-18,600985,淮北矿业,37,-1.0498,-0.2693,-0.5993,0.4505,801951.SI,煤炭开采,-0.33,13.27,16
2026-03-18,600993,马应龙,35,-1.0413,-0.5308,-0.5908,0.4505,801155.SI,中药Ⅱ,-0.06,25.24,17
2026-03-18,000100,TCL科技,33,-0.4505,-1.53,0.0,0.4505,801084.SI,光学光电子,1.53,4.48,18
2026-03-18,002170,芭田股份,28,-1.7472,-0.5267,-1.2967,0.4505,801038.SI,农化制品,-0.77,12.94,19
2026-03-18,601168,西部矿业,23,-2.1321,-0.7416,-1.6816,0.4505,801055.SI,工业金属,-0.94,27.48,20
2026-03-18,000933,神火股份,22,-2.1725,-0.782,-1.722,0.4505,801055.SI,工业金属,-0.94,31.96,21
2026-03-18,600961,株冶集团,21,-2.2094,-0.8189,-1.7589,0.4505,801055.SI,工业金属,-0.94,18.99,22
2026-03-18,002128,电投能源,6,-2.7845,-2.004,-2.334,0.4505,801951.SI,煤炭开采,-0.33,29.71,23
2026-03-18,600989,宝丰能源,0,-3.4865,-2.416,-3.036,0.4505,801033.SI,化学原料,-0.62,30.98,24
2026-03-19,600131,国网信通,100,9.01,8.1482,7.3982,-1.6118,801103.SI,IT服务Ⅱ,-0.75,21.63,1
2026-03-19,600989,宝丰能源,100,4.0004,4.9786,2.3886,-1.6118,801033.SI,化学原料,-2.59,31.72,2
2026-03-19,600999,招商证券,61,0.7827,0.4109,-0.8291,-1.6118,801193.SI,证券Ⅱ,-1.24,15.55,3
2026-03-19,000933,神火股份,60,-1.6736,3.3346,-3.2854,-1.6118,801055.SI,工业金属,-6.62,30.91,4
2026-03-19,600887,伊利股份,58,0.6808,0.089,-0.931,-1.6118,801127.SI,饮料乳品,-1.02,25.54,5
2026-03-19,600993,马应龙,56,0.4628,0.121,-1.149,-1.6118,801155.SI,中药Ⅱ,-1.27,24.95,6
2026-03-19,600661,昂立教育,50,-0.441,0.5772,-2.0528,-1.6118,801994.SI,教育,-2.63,10.02,7
2026-03-19,600985,淮北矿业,47,1.3857,-2.1461,-0.2261,-1.6118,801951.SI,煤炭开采,1.92,13.24,8
2026-03-19,603099,长白山,47,-0.2891,-0.0309,-1.9009,-1.6118,801993.SI,旅游及景区,-1.87,36.64,9
2026-03-19,000100,TCL科技,42,-0.6203,-0.2321,-2.2321,-1.6118,801084.SI,光学光电子,-2.0,4.38,10
2026-03-19,603231,索宝蛋白,42,-0.7189,-0.0507,-2.3307,-1.6118,801012.SI,农产品加工,-2.28,17.6,11
2026-03-19,000623,吉林敖东,38,-0.5217,-0.8635,-2.1335,-1.6118,801155.SI,中药Ⅱ,-1.27,17.89,12
2026-03-19,002345,潮宏基,35,-1.0536,-0.5254,-2.6654,-1.6118,801133.SI,饰品,-2.14,9.86,13
2026-03-19,000959,首钢股份,34,-1.9739,0.4443,-3.5857,-1.6118,801044.SI,普钢,-4.03,4.84,14
2026-03-19,000524,岭南控股,30,-1.2453,-0.9871,-2.8571,-1.6118,801993.SI,旅游及景区,-1.87,12.92,15
2026-03-19,000056,*ST皇庭,28,-1.8882,-0.37,-3.5,-1.6118,801183.SI,房地产服务,-3.13,1.93,16
2026-03-19,601168,西部矿业,27,-3.5192,1.489,-5.131,-1.6118,801055.SI,工业金属,-6.62,26.07,17
2026-03-19,002170,芭田股份,26,-2.7931,0.4651,-4.4049,-1.6118,801038.SI,农化制品,-4.87,12.37,18
2026-03-19,600667,太极实业,22,-2.0824,-0.8942,-3.6942,-1.6118,801726.SI,工程咨询服务Ⅱ,-2.8,11.21,19
2026-03-19,600961,株冶集团,11,-4.3914,0.6168,-6.0032,-1.6118,801055.SI,工业金属,-6.62,17.85,20
2026-03-19,002696,百洋股份,6,-2.3018,-2.5636,-3.9136,-1.6118,801014.SI,饲料,-1.35,7.12,21
2026-03-19,600531,豫光金铅,6,-4.6907,0.3175,-6.3025,-1.6118,801055.SI,工业金属,-6.62,13.38,22
2026-03-19,002128,电投能源,0,-2.1916,-5.7234,-3.8034,-1.6118,801951.SI,煤炭开采,1.92,28.58,23
2026-03-19,603257,中国瑞林,0,-6.0206,-4.8324,-7.6324,-1.6118,801726.SI,工程咨询服务Ⅱ,-2.8,58.09,24
2026-03-20,600985,淮北矿业,81,2.0158,1.3516,1.6616,-0.3542,801951.SI,煤炭开采,0.31,13.46,1
2026-03-20,603099,长白山,60,0.5452,0.601,0.191,-0.3542,801993.SI,旅游及景区,-0.41,36.71,2
2026-03-20,600887,伊利股份,57,0.1976,0.6834,-0.1566,-0.3542,801127.SI,饮料乳品,-0.84,25.5,3
2026-03-20,600993,马应龙,52,0.1137,0.0695,-0.2405,-0.3542,801155.SI,中药Ⅱ,-0.31,24.89,4
2026-03-20,601168,西部矿业,50,-0.7198,0.906,-1.074,-0.3542,801055.SI,工业金属,-1.98,25.79,5
2026-03-20,000524,岭南控股,46,-0.265,-0.2092,-0.6192,-0.3542,801993.SI,旅游及景区,-0.41,12.84,6
2026-03-20,000100,TCL科技,45,-0.559,0.1068,-0.9132,-0.3542,801084.SI,光学光电子,-1.02,4.34,7
2026-03-20,600531,豫光金铅,45,-0.9911,0.6347,-1.3453,-0.3542,801055.SI,工业金属,-1.98,13.2,8
2026-03-20,600961,株冶集团,44,-1.0464,0.5794,-1.4006,-0.3542,801055.SI,工业金属,-1.98,17.6,9
2026-03-20,600999,招商证券,44,-0.9963,0.4995,-1.3505,-0.3542,801193.SI,证券Ⅱ,-1.85,15.34,10
2026-03-20,002345,潮宏基,43,-1.1671,0.5387,-1.5213,-0.3542,801133.SI,饰品,-2.06,9.71,11
2026-03-20,000959,首钢股份,37,-1.7119,0.5739,-2.0661,-0.3542,801044.SI,普钢,-2.64,4.74,12
2026-03-20,000623,吉林敖东,36,-0.7637,-0.8079,-1.1179,-0.3542,801155.SI,中药Ⅱ,-0.31,17.69,13
2026-03-20,600989,宝丰能源,34,-2.2624,0.8034,-2.6166,-0.3542,801033.SI,化学原料,-3.42,30.89,14
2026-03-20,002128,电投能源,33,-0.6605,-1.3247,-1.0147,-0.3542,801951.SI,煤炭开采,0.31,28.29,15
2026-03-20,002170,芭田股份,33,-1.4243,-0.3485,-1.7785,-0.3542,801038.SI,农化制品,-1.43,12.15,16
2026-03-20,603257,中国瑞林,33,-1.9354,0.2604,-2.2896,-0.3542,801726.SI,工程咨询服务Ⅱ,-2.55,56.76,17
2026-03-20,000933,神火股份,27,-1.9751,-0.3493,-2.3293,-0.3542,801055.SI,工业金属,-1.98,30.19,18
2026-03-20,600661,昂立教育,12,-3.2386,-0.7528,-3.5928,-0.3542,801994.SI,教育,-2.84,9.66,19
2026-03-20,603231,索宝蛋白,3,-3.1117,-1.9759,-3.4659,-0.3542,801012.SI,农产品加工,-1.49,16.99,20
2026-03-20,000056,*ST皇庭,1,-3.2727,-2.0569,-3.6269,-0.3542,801183.SI,房地产服务,-1.57,1.86,21
2026-03-20,002696,百洋股份,0,-3.8593,-2.8535,-4.2135,-0.3542,801014.SI,饲料,-1.36,6.82,22
2026-03-20,600131,国网信通,0,-5.3786,-0.7328,-5.7328,-0.3542,801103.SI,IT服务Ⅱ,-5.0,20.39,23
2026-03-20,600667,太极实业,0,-4.5521,-2.3563,-4.9063,-0.3542,801726.SI,工程咨询服务Ⅱ,-2.55,10.66,24
2026-03-23,600985,淮北矿业,100,6.5319,3.0489,3.2689,-3.263,801951.SI,煤炭开采,0.22,13.9,1
2026-03-23,600989,宝丰能源,100,4.0076,2.5646,0.7446,-3.263,801033.SI,化学原料,-1.82,31.12,2
2026-03-23,002128,电投能源,82,3.2983,-0.1847,0.0353,-3.263,801951.SI,煤炭开采,0.22,28.3,3
2026-03-23,000959,首钢股份,81,1.1533,2.4603,-2.1097,-3.263,801044.SI,普钢,-4.57,4.64,4
2026-03-23,600131,国网信通,76,0.4185,2.6955,-2.8445,-3.263,801103.SI,IT服务Ⅱ,-5.54,19.81,5
2026-03-23,600993,马应龙,68,0.3703,1.7573,-2.8927,-3.263,801155.SI,中药Ⅱ,-4.65,24.17,6
2026-03-23,000933,神火股份,60,-0.0825,1.3645,-3.3455,-3.263,801055.SI,工业金属,-4.71,29.18,7
2026-03-23,002170,芭田股份,55,0.8762,-0.4468,-2.3868,-3.263,801038.SI,农化制品,-1.94,11.86,8
2026-03-23,600887,伊利股份,53,-0.1488,0.5382,-3.4118,-3.263,801127.SI,饮料乳品,-3.95,24.63,9
2026-03-23,603099,长白山,49,-1.5313,1.8357,-4.7943,-3.263,801993.SI,旅游及景区,-6.63,34.95,10
2026-03-23,600999,招商证券,43,-0.7135,0.0435,-3.9765,-3.263,801193.SI,证券Ⅱ,-4.02,14.73,11
2026-03-23,000056,*ST皇庭,41,-1.5757,0.8113,-4.8387,-3.263,801183.SI,房地产服务,-5.65,1.77,12
2026-03-23,601168,西部矿业,39,-1.2736,0.1734,-4.5366,-3.263,801055.SI,工业金属,-4.71,24.62,13
2026-03-23,000100,TCL科技,36,-1.8061,0.5209,-5.0691,-3.263,801084.SI,光学光电子,-5.59,4.12,14
2026-03-23,000623,吉林敖东,20,-2.2769,-0.8899,-5.5399,-3.263,801155.SI,中药Ⅱ,-4.65,16.71,15
2026-03-23,002345,潮宏基,17,-2.7102,-0.7732,-5.9732,-3.263,801133.SI,饰品,-5.2,9.13,16
2026-03-23,600661,昂立教育,13,-3.3623,-0.3953,-6.6253,-3.263,801994.SI,教育,-6.23,9.02,17
2026-03-23,600667,太极实业,13,-3.3974,-0.3704,-6.6604,-3.263,801726.SI,工程咨询服务Ⅱ,-6.29,9.95,18
2026-03-23,603257,中国瑞林,4,-3.9075,-0.8805,-7.1705,-3.263,801726.SI,工程咨询服务Ⅱ,-6.29,52.69,19
2026-03-23,603231,索宝蛋白,3,-3.2114,-1.8144,-6.4744,-3.263,801012.SI,农产品加工,-4.66,15.89,20
2026-03-23,000524,岭南控股,0,-6.7058,-3.3388,-9.9688,-3.263,801993.SI,旅游及景区,-6.63,11.56,21
2026-03-23,002696,百洋股份,0,-5.388,-2.361,-8.651,-3.263,801014.SI,饲料,-6.29,6.23,22
2026-03-23,600531,豫光金铅,0,-5.0703,-3.6233,-8.3333,-3.263,801055.SI,工业金属,-4.71,12.1,23
2026-03-23,600961,株冶集团,0,-4.2938,-2.8468,-7.5568,-3.263,801055.SI,工业金属,-4.71,16.27,24
2026-03-24,000056,*ST皇庭,100,6.6256,4.9196,7.9096,1.284,801183.SI,房地产服务,2.99,1.91,1
2026-03-24,002345,潮宏基,100,7.3688,4.8028,8.6528,1.284,801133.SI,饰品,3.85,9.92,2
2026-03-24,002696,百洋股份,100,4.8155,4.9295,6.0995,1.284,801014.SI,饲料,1.17,6.61,3
2026-03-24,600661,昂立教育,100,3.8158,1.6298,5.0998,1.284,801994.SI,教育,3.47,9.48,4
2026-03-24,603231,索宝蛋白,100,3.6877,3.2517,4.9717,1.284,801012.SI,农产品加工,1.72,16.68,5
2026-03-24,600531,豫光金铅,90,3.5094,0.6234,4.7934,1.284,801055.SI,工业金属,4.17,12.68,6
2026-03-24,603257,中国瑞林,84,3.1001,0.4241,4.3841,1.284,801726.SI,工程咨询服务Ⅱ,3.96,55.0,7
2026-03-24,000100,TCL科技,82,2.5995,0.7435,3.8835,1.284,801084.SI,光学光电子,3.14,4.28,8
2026-03-24,603099,长白山,71,2.035,0.109,3.319,1.284,801993.SI,旅游及景区,3.21,36.11,9
2026-03-24,601168,西部矿业,70,2.3716,-0.5144,3.6556,1.284,801055.SI,工业金属,4.17,25.52,10
2026-03-24,002128,电投能源,66,0.0234,1.9574,1.3074,1.284,801951.SI,煤炭开采,-0.65,28.67,11
2026-03-24,002170,芭田股份,64,0.6553,0.9793,1.9393,1.284,801038.SI,农化制品,0.96,12.09,12
2026-03-24,600961,株冶集团,55,1.5433,-1.3427,2.8273,1.284,801055.SI,工业金属,4.17,16.73,13
2026-03-24,600667,太极实业,54,1.4296,-1.2464,2.7136,1.284,801726.SI,工程咨询服务Ⅱ,3.96,10.22,14
2026-03-24,600999,招商证券,52,0.0059,0.2399,1.2899,1.284,801193.SI,证券Ⅱ,1.05,14.92,15
2026-03-24,000623,吉林敖东,49,0.272,-0.474,1.556,1.284,801155.SI,中药Ⅱ,2.03,16.97,16
2026-03-24,600985,淮北矿业,48,-0.9962,0.9378,0.2878,1.284,801951.SI,煤炭开采,-0.65,13.94,17
2026-03-24,000959,首钢股份,46,0.4401,-1.0359,1.7241,1.284,801044.SI,普钢,2.76,4.72,18
2026-03-24,600131,国网信通,46,0.2809,-0.8151,1.5649,1.284,801103.SI,IT服务Ⅱ,2.38,20.12,19
2026-03-24,600887,伊利股份,40,-0.472,-0.668,0.812,1.284,801127.SI,饮料乳品,1.48,24.83,20
2026-03-24,600993,马应龙,25,-1.0771,-1.8231,0.2069,1.284,801155.SI,中药Ⅱ,2.03,24.22,21
2026-03-24,000524,岭南控股,0,-2.5816,-4.5076,-1.2976,1.284,801993.SI,旅游及景区,3.21,11.41,22
2026-03-24,000933,神火股份,0,-3.9571,-6.8431,-2.6731,1.284,801055.SI,工业金属,4.17,28.4,23
2026-03-24,600989,宝丰能源,0,-3.5976,-3.1236,-2.3136,1.284,801033.SI,化学原料,0.81,30.4,24
2026-03-25,000524,岭南控股,100,3.4181,1.9303,4.8203,1.4022,801993.SI,旅游及景区,2.89,11.96,1
2026-03-25,002128,电投能源,78,0.3418,3.114,1.744,1.4022,801951.SI,煤炭开采,-1.37,29.17,2
2026-03-25,002696,百洋股份,76,1.3209,1.6331,2.7231,1.4022,801014.SI,饲料,1.09,6.79,3
2026-03-25,601168,西部矿业,74,1.9285,0.6407,3.3307,1.4022,801055.SI,工业金属,2.69,26.37,4
2026-03-25,600667,太极实业,64,0.9461,0.5083,2.3483,1.4022,801726.SI,工程咨询服务Ⅱ,1.84,10.46,5
2026-03-25,002170,芭田股份,60,0.6656,0.4378,2.0678,1.4022,801038.SI,农化制品,1.63,12.34,6
2026-03-25,600531,豫光金铅,57,0.9637,-0.3241,2.3659,1.4022,801055.SI,工业金属,2.69,12.98,7
2026-03-25,600661,昂立教育,55,1.1294,-0.8484,2.5316,1.4022,801994.SI,教育,3.38,9.72,8
2026-03-25,603099,长白山,54,0.8963,-0.5915,2.2985,1.4022,801993.SI,旅游及景区,2.89,36.94,9
2026-03-25,000623,吉林敖东,49,-0.2236,0.1686,1.1786,1.4022,801155.SI,中药Ⅱ,1.01,17.17,10
2026-03-25,600993,马应龙,49,-0.2048,0.1874,1.1974,1.4022,801155.SI,中药Ⅱ,1.01,24.51,11
2026-03-25,603257,中国瑞林,46,-0.0204,-0.4582,1.3818,1.4022,801726.SI,工程咨询服务Ⅱ,1.84,55.76,12
2026-03-25,600999,招商证券,43,-0.5309,-0.2487,0.8713,1.4022,801193.SI,证券Ⅱ,1.12,15.05,13
2026-03-25,600131,国网信通,42,0.0392,-1.0386,1.4414,1.4022,801103.SI,IT服务Ⅱ,2.48,20.41,14
2026-03-25,600887,伊利股份,40,-0.7175,-0.3453,0.6847,1.4022,801127.SI,饮料乳品,1.03,25.0,15
2026-03-25,603231,索宝蛋白,36,-0.5629,-1.0307,0.8393,1.4022,801012.SI,农产品加工,1.87,16.82,16
2026-03-25,000933,神火股份,35,-0.2402,-1.528,1.162,1.4022,801055.SI,工业金属,2.69,28.73,17
2026-03-25,002345,潮宏基,35,-0.5957,-1.1635,0.8065,1.4022,801133.SI,饰品,1.97,10.0,18
2026-03-25,600961,株冶集团,34,-0.3263,-1.6141,1.0759,1.4022,801055.SI,工业金属,2.69,16.91,19
2026-03-25,000056,*ST皇庭,30,-0.8786,-1.4264,0.5236,1.4022,801183.SI,房地产服务,1.95,1.92,20
2026-03-25,000959,首钢股份,19,-1.4022,-2.13,0.0,1.4022,801044.SI,普钢,2.13,4.72,21
2026-03-25,000100,TCL科技,17,-1.8695,-1.7973,-0.4673,1.4022,801084.SI,光学光电子,1.33,4.26,22
2026-03-25,600985,淮北矿业,13,-3.2673,-0.4951,-1.8651,1.4022,801951.SI,煤炭开采,-1.37,13.68,23
2026-03-25,600989,宝丰能源,0,-4.6259,-3.3837,-3.2237,1.4022,801033.SI,化学原料,0.16,29.42,24
2026-03-26,600887,伊利股份,75,1.6008,1.08,0.28,-1.3208,801127.SI,饮料乳品,-0.8,25.07,1
2026-03-26,000933,神火股份,71,0.7987,1.6079,-0.5221,-1.3208,801055.SI,工业金属,-2.13,28.58,2
2026-03-26,603099,长白山,67,1.1313,0.6805,-0.1895,-1.3208,801993.SI,旅游及景区,-0.87,36.87,3
2026-03-26,600993,马应龙,64,1.0352,0.4644,-0.2856,-1.3208,801155.SI,中药Ⅱ,-0.75,24.44,4
2026-03-26,000056,*ST皇庭,63,0.8,0.5792,-0.5208,-1.3208,801183.SI,房地产服务,-1.1,1.91,5
2026-03-26,603231,索宝蛋白,58,0.8452,0.0044,-0.4756,-1.3208,801012.SI,农产品加工,-0.48,16.74,6
2026-03-26,600999,招商证券,57,-0.0745,0.9547,-1.3953,-1.3208,801193.SI,证券Ⅱ,-2.35,14.84,7
2026-03-26,000100,TCL科技,55,-0.3224,0.9868,-1.6432,-1.3208,801084.SI,光学光电子,-2.63,4.19,8
2026-03-26,002170,芭田股份,55,0.5915,-0.0793,-0.7293,-1.3208,801038.SI,农化制品,-0.65,12.25,9
2026-03-26,002696,百洋股份,55,0.1426,0.4318,-1.1782,-1.3208,801014.SI,饲料,-1.61,6.71,10
2026-03-26,002345,潮宏基,53,0.2208,0.07,-1.1,-1.3208,801133.SI,饰品,-1.17,9.89,11
2026-03-26,000524,岭南控股,49,0.1502,-0.3006,-1.1706,-1.3208,801993.SI,旅游及景区,-0.87,11.82,12
2026-03-26,000623,吉林敖东,49,0.2142,-0.3566,-1.1066,-1.3208,801155.SI,中药Ⅱ,-0.75,16.98,13
2026-03-26,600661,昂立教育,44,-0.7368,0.2024,-2.0576,-1.3208,801994.SI,教育,-2.26,9.52,14
2026-03-26,600961,株冶集团,44,-0.6898,0.1194,-2.0106,-1.3208,801055.SI,工业金属,-2.13,16.57,15
2026-03-26,600985,淮北矿业,44,0.5898,-1.451,-0.731,-1.3208,801951.SI,煤炭开采,0.72,13.58,16
2026-03-26,000959,首钢股份,40,-1.0097,0.0095,-2.3305,-1.3208,801044.SI,普钢,-2.34,4.61,17
2026-03-26,002128,电投能源,34,0.0181,-2.0227,-1.3027,-1.3208,801951.SI,煤炭开采,0.72,28.79,18
2026-03-26,600989,宝丰能源,33,-0.5147,-1.4755,-1.8355,-1.3208,801033.SI,化学原料,-0.36,28.88,19
2026-03-26,600531,豫光金铅,26,-1.6838,-0.8746,-3.0046,-1.3208,801055.SI,工业金属,-2.13,12.59,20
2026-03-26,603257,中国瑞林,22,-2.0149,-0.9957,-3.3357,-1.3208,801726.SI,工程咨询服务Ⅱ,-2.34,53.9,21
2026-03-26,600131,国网信通,0,-5.2936,-3.6044,-6.6144,-1.3208,801103.SI,IT服务Ⅱ,-3.01,19.06,22
2026-03-26,600667,太极实业,0,-5.467,-4.4478,-6.7878,-1.3208,801726.SI,工程咨询服务Ⅱ,-2.34,9.75,23
2026-03-26,601168,西部矿业,0,-3.7607,-2.9515,-5.0815,-1.3208,801055.SI,工业金属,-2.13,25.03,24
2026-03-27,000933,神火股份,100,3.3947,2.3538,3.9538,0.5591,801055.SI,工业金属,1.6,29.71,1
2026-03-27,600961,株冶集团,100,3.243,2.2021,3.8021,0.5591,801055.SI,工业金属,1.6,17.2,2
2026-03-27,002696,百洋股份,76,2.1235,0.6526,2.6826,0.5591,801014.SI,饲料,2.03,6.89,3
2026-03-27,600531,豫光金铅,76,1.9032,0.8623,2.4623,0.5591,801055.SI,工业金属,1.6,12.9,4
2026-03-27,603257,中国瑞林,73,1.3147,1.2238,1.8738,0.5591,801726.SI,工程咨询服务Ⅱ,0.65,54.91,5
2026-03-27,600131,国网信通,71,1.2772,1.0863,1.8363,0.5591,801103.SI,IT服务Ⅱ,0.75,19.41,6
2026-03-27,600985,淮北矿业,67,0.6191,1.3982,1.1782,0.5591,801951.SI,煤炭开采,-0.22,13.74,7
2026-03-27,600661,昂立教育,66,1.1216,0.6507,1.6807,0.5591,801994.SI,教育,1.03,9.68,8
2026-03-27,002345,潮宏基,65,1.362,0.1211,1.9211,0.5591,801133.SI,饰品,1.8,10.08,9
2026-03-27,000100,TCL科技,62,0.8729,0.392,1.432,0.5591,801084.SI,光学光电子,1.04,4.25,10
2026-03-27,000623,吉林敖东,59,1.0899,-0.191,1.649,0.5591,801155.SI,中药Ⅱ,1.84,17.26,11
2026-03-27,002170,芭田股份,59,2.1348,-1.4861,2.6939,0.5591,801038.SI,农化制品,4.18,12.58,12
2026-03-27,600999,招商证券,56,0.3843,0.2934,0.9434,0.5591,801193.SI,证券Ⅱ,0.65,14.98,13
2026-03-27,002128,电投能源,54,-0.1423,0.6368,0.4168,0.5591,801951.SI,煤炭开采,-0.22,28.91,14
