ts_code,symbol,name,area,industry,market,list_date
002122.SZ,002122,ST汇洲,浙江,机床制造,主板,20070328
000698.SZ,000698,ST沈化,辽宁,石油加工,主板,19970220
300716.SZ,300716,ST泉为,广东,塑料,创业板,20171109
300419.SZ,300419,ST浩丰,北京,软件服务,创业板,20150122
600082.SH,600082,ST海泰,天津,园区开发,主板,19970620
000697.SZ,000697,ST炼石,陕西,航空,主板,19970325
002620.SZ,002620,ST瑞和,深圳,装修装饰,主板,20110929
002424.SZ,002424,ST百灵,贵州,中成药,主板,20100603
300173.SZ,300173,ST福能,广东,轻工机械,创业板,20110201
002598.SZ,002598,ST章鼓,山东,机械基件,主板,20110707
300198.SZ,300198,ST纳川,福建,塑料,创业板,20110407
603517.SH,603517,ST绝味,湖南,食品,主板,20170317
300237.SZ,300237,ST美晨,山东,汽车配件,创业板,20110629
300343.SZ,300343,ST联创,山东,化工原料,创业板,20120801
688270.SH,688270,ST臻镭,浙江,半导体,科创板,20220127
002528.SZ,002528,ST英飞拓,深圳,IT设备,主板,20101224
002731.SZ,002731,ST萃华,辽宁,服饰,主板,20141104
605199.SH,605199,ST葫芦娃,海南,中成药,主板,20200710
688076.SH,688076,ST诺泰,江苏,生物制药,科创板,20210520
603557.SH,603557,ST起步,浙江,服饰,主板,20170818
300555.SZ,300555,ST路通,江苏,通信设备,创业板,20161018
002512.SZ,002512,ST达华,福建,IT设备,主板,20101203
002689.SZ,002689,ST远智,辽宁,运输设备,主板,20120717
300167.SZ,300167,ST迪威迅,深圳,软件服务,创业板,20110125
603559.SH,603559,ST通脉,吉林,通信设备,主板,20161202
600365.SH,600365,ST通葡,吉林,互联网,主板,20010115
688646.SH,688646,ST逸飞,湖北,专用机械,科创板,20230728
000669.SZ,000669,ST金鸿,湖南,供气供热,主板,19961210
300020.SZ,300020,ST银江,浙江,软件服务,创业板,20091030
600525.SH,600525,ST长园,深圳,电气设备,主板,20021202
300301.SZ,300301,ST长方,深圳,半导体,创业板,20120321
002485.SZ,002485,ST雪发,山东,商贸代理,主板,20101015
300385.SZ,300385,ST雪浪,江苏,环境保护,创业板,20140626
300147.SZ,300147,ST香雪,广东,中成药,创业板,20101215
