date,variant,period_return,ret_4w,icir_4w,vol_4w,ret_8w,icir_8w,vol_8w,ret_12w,icir_12w,vol_12w
2025-10-17,M+,0.02446016491339087,0.050637262092505186,0.3299652079808444,0.03836560709110039,0.09652863948964652,0.4164674108451397,0.028972446875783268,0.13426163443186645,0.43730231255851765,0.025585205508127023
2025-10-24,M+,-0.02058793506636225,-0.0012820873544124867,-0.01782899445085193,0.017977561184770355,0.12136499757454555,0.5267022804332347,0.028803035909280128,0.1322989441234198,0.4324613678316478,0.025493403180875233
2025-10-31,M+,-0.002325727755406959,-0.0014251193133327789,-0.01977393297337424,0.018017651259004893,0.06935682425558654,0.2867367979773562,0.030235404360736993,0.1299829559150083,0.4211113573567664,0.025722205786391412
2025-11-07,M+,0.028483967888558448,0.010362056157066757,0.15776745165810158,0.016419825585321627,0.048346061321447587,0.20034794394719457,0.0301638117472958,0.11087996355645258,0.3568180730285595,0.02589554078528458
2025-11-14,M+,-0.03607550127439707,0.030030469980180108,0.373812876830455,0.020083892129938986,0.0806677320726853,0.3281408689156745,0.03072907846683647,0.12655910946982663,0.3990018994128915,0.026432436716059732
2025-11-21,M+,-0.006616420175971305,-0.030505196207607832,-0.31739014838766794,0.02402815301811767,-0.03178728356202032,-0.18453732178525545,0.02153174440169,0.09085980136693772,0.2580387289838092,0.02934307630381548
2025-11-28,M+,0.08254335870444751,-0.016533681317216886,-0.18067175584849873,0.022878065859780968,-0.017958800630549665,-0.10856124850261958,0.020678189591422577,0.05282314293836965,0.153689420163323,0.0286417150479169
2025-12-05,M+,0.2286451640005005,0.06833540514263758,0.3868103365186126,0.04416596371084141,0.07869746129970434,0.2885020512030194,0.03409744444257209,0.11668146646408517,0.2713690415685032,0.0358311157472958
2025-12-12,M+,0.0992515832526395,0.26849660125457964,0.6518549340797929,0.10297406187222065,0.29852707123475974,0.4667387895091135,0.07995025213908505,0.34916433332726493,0.4162200251409635,0.06990780361280702
2025-12-19,M+,-0.05840045980988051,0.4038236857816162,1.201978043140578,0.08399148555294923,0.37331848957400837,0.5674194650717559,0.08224041307932539,0.3720364022195959,0.43381877413950665,0.07146540298952059
2025-12-26,M+,0.04781217230254109,0.352039646147707,0.865398305778459,0.10169873334540268,0.3355059648304901,0.4824755122446482,0.0869230552421191,0.33408084551715733,0.3739430256204402,0.07445003263149866
2025-12-31,M+,-0.058431924846483074,0.3173084597458006,0.7681870545681795,0.10326536286274994,0.38564386488843816,0.565142361874647,0.08529794678840077,0.3960059210455049,0.4489656617814107,0.0735033795001583
2026-01-09,M+,-0.018257563750478822,0.030231370898817,0.11043855090800928,0.0684348233706871,0.29872797215339664,0.40429461846759934,0.0923608547170586,0.32875844213357674,0.3531215484272106,0.07758387152097576
2026-01-16,M+,-0.04409341980945691,-0.08727777610430132,-0.502563648063208,0.043416279928251145,0.3165459096773149,0.43594334290748,0.09076463571107199,0.28604071346970705,0.30322702768496324,0.0786101631654045
2026-01-23,M+,-0.01840954271093076,-0.07297073610387772,-0.44752401996942154,0.04076358633714436,0.2790689100438293,0.37134285308409026,0.09393910092994114,0.2625352287266124,0.27356396572986896,0.07997374825608827
2026-01-30,M+,-0.02390595944322471,-0.13919245111734957,-2.0199269773011035,0.017227411272972053,0.178116008628451,0.23820269970186614,0.09346871847557801,0.2464514137710886,0.25512189609502706,0.08050119620703819
2026-02-06,M+,-0.05086658701221203,-0.1046664857140912,-2.4691916350957954,0.010597242051448807,-0.0744351148152742,-0.1796579720171479,0.05178945998021839,0.19406148643930543,0.19874920825128017,0.08136782369549199
2026-02-13,M+,0.03685349446631192,-0.1372755089758244,-2.5388254846676115,0.01351761964389183,-0.22455328508012573,-0.8569353343997971,0.032755284451744,0.17927040070149047,0.18161588943030513,0.0822571202625442
2026-02-27,M+,0.014515276604549543,-0.05632859470005558,-0.44186326394103115,0.03186992407880558,-0.1292993308039333,-0.44102875338208114,0.036647080777723134,0.2227403153437737,0.2258519542864638,0.08218522174827579
2026-03-06,M+,0.00706509958231627,-0.023403775384575276,-0.17270689326941105,0.03387788255224268,-0.16259622650192485,-0.6658478150645231,0.030524284758328878,0.15471223324387573,0.16137936701596167,0.07989054822839356
2026-03-13,M+,-0.03557920594019415,0.007567283640965705,0.05843936091352028,0.03237237506825203,-0.0970992020731255,-0.435439376253554,0.027873915224591782,-0.0668678311743085,-0.11975097459399855,0.04653255878223952
2026-03-20,M+,-0.01639398673675896,0.022854664712983586,0.2177490133040903,0.026239688031406423,-0.11442084426284083,-0.4945846851521223,0.02891841571773693,-0.20169862036714215,-0.48553584385560417,0.034617873379760584
2026-03-27,M+,0.011499402272318715,-0.030392816490087293,-0.3842183014713445,0.019775747520159467,-0.08672141119014287,-0.4057128097465613,0.026718841846624087,-0.1596921472940206,-0.4122577644801419,0.03227999588546113
2026-04-03,M+,-0.13424006579936687,-0.03340869082231812,-0.44054101698171283,0.01895889913452993,-0.0568124662068934,-0.2584283067247278,0.02747980035881325,-0.19600491732424297,-0.5875520684267856,0.027799652129705532
2026-04-10,M+,0.009616582034477128,-0.17471385620400126,-0.7956003942859871,0.05490000302249678,-0.16714657256303556,-0.41373699077672016,0.05049904174909722,-0.27181305827712676,-0.5424394408624121,0.04175781936827476
2026-04-17,M+,-0.04143203336615109,-0.12951806822932999,-0.5411612902266544,0.05983339466829011,-0.1066634035163464,-0.26681593260650405,0.04997049954736582,-0.2439389124921708,-0.47604669518246473,0.042702203194351036
2026-04-24,M+,-0.05221334548430023,-0.15455611485872212,-0.653356249211716,0.059139296151676964,-0.1849489313488094,-0.494562366875663,0.04674560372365207,-0.241277526048865,-0.47214946245141737,0.04258494841798315
2026-04-30,M+,-0.003495149987060686,-0.21826886261534106,-1.057744718785124,0.0515882657551896,-0.2516775534376592,-0.6957875485235009,0.04521451159404417,-0.27508132882223446,-0.5271210451914787,0.04348800769317133
2026-05-08,M+,0.042204906037107914,-0.08752394680303488,-0.8529397991158387,0.025653612040897434,-0.26223780300703614,-0.7413947856231791,0.044213590399515064,-0.25467051936607044,-0.4843754033353707,0.043814246417900486
2026-05-15,M+,-0.03980799113411382,-0.054935622800404094,-0.3709889925274397,0.03701971211203851,-0.18445369102973408,-0.45550598393143016,0.05061780128488414,-0.1615990263167505,-0.29236827563572715,0.04606035144241987
2026-05-22,M+,-0.005868247482843203,-0.05331158056836682,-0.36294614355920657,0.036721412745683454,-0.20786769542708894,-0.5112396192648501,0.05082442938548013,-0.23826051191717623,-0.4522381812547386,0.04390395035792136
2026-05-29,M+,0.03358174645665102,-0.006966482566909793,-0.05973314516129814,0.029156687414073523,-0.22523534518225086,-0.5684147335290033,0.0495314714539235,-0.258644036004569,-0.502127308870689,0.0429247110967192
2026-06-05,M+,-0.16012159488017275,0.03011041387680191,0.22955129293398213,0.03279268599617682,-0.05741353292623297,-0.21808209801782835,0.03290821062805633,-0.23212738913023423,-0.4301075996856719,0.04497467403115636
