date,variant,symbol,name,weight,state,state_code,upside,fair_price,close,factor,side,position_pct,position_scale,temp_bucket,used_gbm,w_A,w_B,w_Q,w_M+,w_M-
2026-05-29,B,002612,,0.14285714285714285,,,1.063713730598041,32.15358647033857,13.2,1.063713730598041,long,,,,,,,,,
2026-05-29,B,600551,,0.14285714285714285,,,1.063713730598041,15.25860138724192,7.28,1.063713730598041,long,,,,,,,,,
2026-05-29,B,600993,,0.14285714285714285,,,1.063713730598041,100.28833906252653,24.19,1.063713730598041,long,,,,,,,,,
2026-05-29,B,002705,,0.14285714285714285,,,1.049893159847167,26.423122830429985,12.89,1.049893159847167,long,,,,,,,,,
2026-05-29,B,600987,,0.14285714285714285,,,1.0332176718898491,13.297243574159614,6.54,1.0332176718898491,long,,,,,,,,,
2026-05-29,B,600711,,0.14285714285714285,,,0.915371551711835,23.367532930884387,12.2,0.915371551711835,long,,,,,,,,,
2026-05-29,B,002599,,-0.14285714285714285,,,-0.8,0.4702673823965152,6.24,-0.8,short,,,,,,,,,
2026-05-29,B,002721,,-0.14285714285714285,,,-0.8,0.4687969382582059,2.64,-0.8,short,,,,,,,,,
2026-05-29,B,002955,,-0.14285714285714285,,,-0.8,1.0268140653569318,23.05,-0.8,short,,,,,,,,,
2026-05-29,B,003041,,-0.14285714285714285,,,-0.8,3.922984715400362,52.16,-0.8,short,,,,,,,,,
2026-05-29,B,600189,,-0.14285714285714285,,,-0.8,0.7220768489595956,8.14,-0.8,short,,,,,,,,,
2026-05-29,B,600208,,-0.14285714285714285,,,-0.8,0.4598675040577184,2.96,-0.8,short,,,,,,,,,
2026-05-29,B,603615,,-0.14285714285714285,,,-0.8,1.3763598395024248,18.85,-0.8,short,,,,,,,,,
2026-06-05,B,000656,,0.14285714285714285,,,1.1463383578525295,74.41199750052073,1.4,1.1463383578525295,long,,,,,,,,,
2026-06-05,B,002612,,0.14285714285714285,,,1.1463383578525295,32.035798999436544,12.62,1.1463383578525295,long,,,,,,,,,
2026-06-05,B,600711,,0.14285714285714285,,,1.1463383578525295,26.912284924211388,11.9,1.1463383578525295,long,,,,,,,,,
2026-06-05,B,600993,,0.14285714285714285,,,1.1463383578525295,112.00369875680674,24.0,1.1463383578525295,long,,,,,,,,,
2026-06-05,B,002705,,0.14285714285714285,,,1.0969677048237325,26.12821760210371,12.46,1.0969677048237325,long,,,,,,,,,
2026-06-05,B,600551,,0.14285714285714285,,,1.0754271957577286,15.088355713158686,7.27,1.0754271957577286,long,,,,,,,,,
2026-06-05,B,600987,,0.14285714285714285,,,1.0305454101399887,13.218850620011326,6.51,1.0305454101399887,long,,,,,,,,,
2026-06-05,B,002599,,-0.14285714285714285,,,-0.8,0.4650209772168384,6.23,-0.8,short,,,,,,,,,
2026-06-05,B,002721,,-0.14285714285714285,,,-0.8,0.46708478241809626,2.58,-0.8,short,,,,,,,,,
2026-06-05,B,002955,,-0.14285714285714285,,,-0.8,1.015358608460398,27.25,-0.8,short,,,,,,,,,
2026-06-05,B,003041,,-0.14285714285714285,,,-0.8,3.8998621941995726,49.05,-0.8,short,,,,,,,,,
2026-06-05,B,600189,,-0.14285714285714285,,,-0.8,0.7140210621179858,7.7,-0.8,short,,,,,,,,,
2026-06-05,B,600208,,-0.14285714285714285,,,-0.8,0.45473718567576904,2.85,-0.8,short,,,,,,,,,
2026-06-05,B,603615,,-0.14285714285714285,,,-0.8,1.361004657226153,19.18,-0.8,short,,,,,,,,,
2026-06-12,B,000656,,0.14285714285714285,,,1.129768573879657,75.49638995317157,1.37,1.129768573879657,long,,,,,,,,,
2026-06-12,B,002612,,0.14285714285714285,,,1.129768573879657,32.60905628400678,12.05,1.129768573879657,long,,,,,,,,,
2026-06-12,B,002705,,0.14285714285714285,,,1.129768573879657,26.508244159500144,11.93,1.129768573879657,long,,,,,,,,,
2026-06-12,B,600993,,0.14285714285714285,,,1.129768573879657,101.704466781257,23.83,1.129768573879657,long,,,,,,,,,
2026-06-12,B,600711,,0.14285714285714285,,,1.0902485736479788,27.173231457423725,13.0,1.0902485736479788,long,,,,,,,,,
2026-06-12,B,600551,,0.14285714285714285,,,1.0630652885910319,15.307944441345457,7.42,1.0630652885910319,long,,,,,,,,,
2026-06-12,B,600987,,0.14285714285714285,,,1.031637356244686,13.124377321340672,6.46,1.031637356244686,long,,,,,,,,,
2026-06-12,B,002599,,-0.14285714285714285,,,-0.8,0.4717854044771554,5.88,-0.8,short,,,,,,,,,
2026-06-12,B,002721,,-0.14285714285714285,,,-0.8,0.4765761281611881,2.42,-0.8,short,,,,,,,,,
2026-06-12,B,002955,,-0.14285714285714285,,,-0.8,1.0301282346817873,32.33,-0.8,short,,,,,,,,,
2026-06-12,B,003041,,-0.14285714285714285,,,-0.8,3.872027487453708,45.2,-0.8,short,,,,,,,,,
2026-06-12,B,600189,,-0.14285714285714285,,,-0.8,0.7244078080405152,7.85,-0.8,short,,,,,,,,,
2026-06-12,B,600208,,-0.14285714285714285,,,-0.8,0.46135209519975184,2.97,-0.8,short,,,,,,,,,
2026-06-12,B,603615,,-0.14285714285714285,,,-0.8,1.380802489663081,17.45,-0.8,short,,,,,,,,,
2026-06-18,B,000656,,0.14285714285714285,,,1.2308106140771644,73.33489009793254,1.34,1.2308106140771644,long,,,,,,,,,
2026-06-18,B,002612,,0.14285714285714285,,,1.2308106140771644,32.17460464607018,11.78,1.2308106140771644,long,,,,,,,,,
2026-06-18,B,002705,,0.14285714285714285,,,1.2308106140771644,25.748788046135182,11.31,1.2308106140771644,long,,,,,,,,,
2026-06-18,B,600993,,0.14285714285714285,,,1.2308106140771644,99.64485997524692,22.58,1.2308106140771644,long,,,,,,,,,
2026-06-18,B,600711,,0.14285714285714285,,,1.2111698410221265,28.369309060313885,12.83,1.2111698410221265,long,,,,,,,,,
2026-06-18,B,600551,,0.14285714285714285,,,1.1121003166390904,14.869186229139196,7.04,1.1121003166390904,long,,,,,,,,,
2026-06-18,B,600987,,0.14285714285714285,,,0.9419466546216835,12.117747124839305,6.24,0.9419466546216835,long,,,,,,,,,
2026-06-18,B,002552,,-0.14285714285714285,,,-0.8,11.16887711378258,72.39,-0.8,short,,,,,,,,,
2026-06-18,B,002599,,-0.14285714285714285,,,-0.8,0.45826560028841423,5.54,-0.8,short,,,,,,,,,
2026-06-18,B,002955,,-0.14285714285714285,,,-0.8,1.0006080298654114,34.77,-0.8,short,,,,,,,,,
2026-06-18,B,003041,,-0.14285714285714285,,,-0.8,3.5750120302143737,45.38,-0.8,short,,,,,,,,,
2026-06-18,B,600189,,-0.14285714285714285,,,-0.8,0.7036484209348166,7.65,-0.8,short,,,,,,,,,
2026-06-18,B,600208,,-0.14285714285714285,,,-0.8,0.44813117313580075,3.1,-0.8,short,,,,,,,,,
2026-06-18,B,603615,,-0.14285714285714285,,,-0.8,1.3412331528712198,18.12,-0.8,short,,,,,,,,,
2026-06-26,B,000656,,0.14285714285714285,,,1.3147424960181917,67.04841410809438,1.15,1.3147424960181917,long,,,,,,,,,
2026-06-26,B,002612,,0.14285714285714285,,,1.3147424960181917,29.617999353771886,11.31,1.3147424960181917,long,,,,,,,,,
2026-06-26,B,600711,,0.14285714285714285,,,1.3147424960181917,30.565799333616436,10.66,1.3147424960181917,long,,,,,,,,,
2026-06-26,B,600993,,0.14285714285714285,,,1.3147424960181917,84.83994812757058,21.55,1.3147424960181917,long,,,,,,,,,
2026-06-26,B,002705,,0.14285714285714285,,,1.184455958549223,23.52659067357513,10.77,1.184455958549223,long,,,,,,,,,
2026-06-26,B,600551,,0.14285714285714285,,,0.9298354652578886,13.586041675415537,7.04,0.9298354652578886,long,,,,,,,,,
2026-06-26,B,600987,,0.14285714285714285,,,0.8855948851662676,11.445560952959244,6.07,0.8855948851662676,long,,,,,,,,,
2026-06-26,B,002599,,-0.14285714285714285,,,-0.8,0.4187192873653944,5.01,-0.8,short,,,,,,,,,
2026-06-26,B,002721,,-0.14285714285714285,,,-0.8,0.43286517054501583,2.2,-0.8,short,,,,,,,,,
2026-06-26,B,002955,,-0.14285714285714285,,,-0.8,0.91426007446556,31.23,-0.8,short,,,,,,,,,
2026-06-26,B,003041,,-0.14285714285714285,,,-0.8,3.3767134688635854,44.03,-0.8,short,,,,,,,,,
2026-06-26,B,600189,,-0.14285714285714285,,,-0.8,0.6429268358905977,7.42,-0.8,short,,,,,,,,,
2026-06-26,B,600208,,-0.14285714285714285,,,-0.8,0.409459489878097,2.85,-0.8,short,,,,,,,,,
2026-06-26,B,603615,,-0.14285714285714285,,,-0.8,1.2254910369705405,16.19,-0.8,short,,,,,,,,,
2026-07-03,B,000656,,0.14285714285714285,,,1.2188281196224227,71.30361391694724,1.3,1.2188281196224227,long,,,,,,,,,
2026-07-03,B,002612,,0.14285714285714285,,,1.2188281196224227,35.148414788097384,11.92,1.2188281196224227,long,,,,,,,,,
2026-07-03,B,600711,,0.14285714285714285,,,1.2188281196224227,27.184092918673375,11.46,1.2188281196224227,long,,,,,,,,,
2026-07-03,B,600993,,0.14285714285714285,,,1.2188281196224227,101.83338578573782,22.87,1.2188281196224227,long,,,,,,,,,
2026-07-03,B,002705,,0.14285714285714285,,,1.153146643638863,25.019563999083587,11.62,1.153146643638863,long,,,,,,,,,
2026-07-03,B,600551,,0.14285714285714285,,,1.1309891336577538,14.448106326199571,6.78,1.1309891336577538,long,,,,,,,,,
2026-07-03,B,600987,,0.14285714285714285,,,0.932427451243214,12.502805609543595,6.47,0.932427451243214,long,,,,,,,,,
2026-07-03,B,002552,,-0.14285714285714285,,,-0.8,10.852608147471848,65.38,-0.8,short,,,,,,,,,
2026-07-03,B,002599,,-0.14285714285714285,,,-0.8,0.4452888189568853,5.58,-0.8,short,,,,,,,,,
2026-07-03,B,002955,,-0.14285714285714285,,,-0.8,0.9722736622594331,37.15,-0.8,short,,,,,,,,,
2026-07-03,B,003041,,-0.14285714285714285,,,-0.8,3.6886319401194947,44.3,-0.8,short,,,,,,,,,
2026-07-03,B,600189,,-0.14285714285714285,,,-0.8,0.6837233012359087,7.79,-0.8,short,,,,,,,,,
2026-07-03,B,600208,,-0.14285714285714285,,,-0.8,0.4354412919197222,2.96,-0.8,short,,,,,,,,,
2026-07-03,B,603615,,-0.14285714285714285,,,-0.8,1.3032534174327102,18.86,-0.8,short,,,,,,,,,
2026-07-10,B,000656,,0.14285714285714285,,,1.1189505995572113,66.9993940744041,1.31,1.1189505995572113,long,,,,,,,,,
2026-07-10,B,002612,,0.14285714285714285,,,1.1189505995572113,33.61163264123612,11.13,1.1189505995572113,long,,,,,,,,,
2026-07-10,B,600711,,0.14285714285714285,,,1.1189505995572113,23.400073923369348,10.74,1.1189505995572113,long,,,,,,,,,
2026-07-10,B,600993,,0.14285714285714285,,,1.1189505995572113,92.98219115125589,23.25,1.1189505995572113,long,,,,,,,,,
2026-07-10,B,002705,,0.14285714285714285,,,1.0933103567748934,23.507875306582054,11.23,1.0933103567748934,long,,,,,,,,,
2026-07-10,B,600551,,0.14285714285714285,,,1.056853101118965,13.575230467385168,6.6,1.056853101118965,long,,,,,,,,,
2026-07-10,B,600987,,0.14285714285714285,,,0.8935354314628665,12.06182069841846,6.37,0.8935354314628665,long,,,,,,,,,
2026-07-10,B,002552,,-0.14285714285714285,,,-0.8,10.19688111021312,60.34,-0.8,short,,,,,,,,,
2026-07-10,B,002599,,-0.14285714285714285,,,-0.8,0.41838403065357527,5.3,-0.8,short,,,,,,,,,
2026-07-10,B,002955,,-0.14285714285714285,,,-0.8,0.9135279314497129,31.92,-0.8,short,,,,,,,,,
2026-07-10,B,003041,,-0.14285714285714285,,,-0.8,3.558518958393257,43.66,-0.8,short,,,,,,,,,
2026-07-10,B,600189,,-0.14285714285714285,,,-0.8,0.6424120641146182,7.08,-0.8,short,,,,,,,,,
2026-07-10,B,600208,,-0.14285714285714285,,,-0.8,0.4091314864780456,2.91,-0.8,short,,,,,,,,,
2026-07-10,B,603615,,-0.14285714285714285,,,-0.8,1.224509522363811,16.9,-0.8,short,,,,,,,,,
2026-07-17,B,000656,,0.14285714285714285,,,1.0458175694076852,65.55073664391621,1.24,1.0458175694076852,long,,,,,,,,,
2026-07-17,B,002612,,0.14285714285714285,,,1.0458175694076852,32.87641334535618,11.92,1.0458175694076852,long,,,,,,,,,
2026-07-17,B,600711,,0.14285714285714285,,,1.0458175694076852,19.278999385497748,9.35,1.0458175694076852,long,,,,,,,,,
2026-07-17,B,600993,,0.14285714285714285,,,1.0458175694076852,93.48406532085052,23.69,1.0458175694076852,long,,,,,,,,,
2026-07-17,B,002705,,0.14285714285714285,,,1.0389143557391187,22.99895393273726,11.28,1.0389143557391187,long,,,,,,,,,
2026-07-17,B,600551,,0.14285714285714285,,,0.9675975402512307,13.281283396695807,6.75,0.9675975402512307,long,,,,,,,,,
2026-07-17,B,600987,,0.14285714285714285,,,0.8415384615384616,12.154153846153847,6.6,0.8415384615384616,long,,,,,,,,,
2026-07-17,B,002219,,-0.14285714285714285,,,-0.8,0.16759544357947623,1.98,-0.8,short,,,,,,,,,
2026-07-17,B,002599,,-0.14285714285714285,,,-0.8,0.40932520973010067,5.88,-0.8,short,,,,,,,,,
2026-07-17,B,002955,,-0.14285714285714285,,,-0.8,0.893748352735463,28.34,-0.8,short,,,,,,,,,
2026-07-17,B,003041,,-0.14285714285714285,,,-0.8,3.5857782777787337,37.17,-0.8,short,,,,,,,,,
2026-07-17,B,600189,,-0.14285714285714285,,,-0.8,0.6285024910550072,7.19,-0.8,short,,,,,,,,,
2026-07-17,B,600208,,-0.14285714285714285,,,-0.8,0.4002731113579736,2.78,-0.8,short,,,,,,,,,
2026-07-17,B,603615,,-0.14285714285714285,,,-0.8,1.197996678516528,14.94,-0.8,short,,,,,,,,,
2026-07-24,B,000656,,0.14285714285714285,,,0.9723751156726248,64.30110614262179,1.24,0.9723751156726248,long,,,,,,,,,
2026-07-24,B,002612,,0.14285714285714285,,,0.9723751156726248,33.00989598978673,11.45,0.9723751156726248,long,,,,,,,,,
2026-07-24,B,002705,,0.14285714285714285,,,0.9723751156726248,22.560452052900786,11.11,0.9723751156726248,long,,,,,,,,,
2026-07-24,B,600993,,0.14285714285714285,,,0.9723751156726248,86.58266174539519,23.16,0.9723751156726248,long,,,,,,,,,
2026-07-24,B,600551,,0.14285714285714285,,,0.9474028441883282,13.028125027619916,6.69,0.9474028441883282,long,,,,,,,,,
2026-07-24,B,600987,,0.14285714285714285,,,0.8318174699064751,11.83354085559583,6.46,0.8318174699064751,long,,,,,,,,,
2026-07-24,B,600711,,0.14285714285714285,,,0.8129643800449262,19.18116314087532,10.58,0.8129643800449262,long,,,,,,,,,
2026-07-24,B,002219,,-0.14285714285714285,,,-0.8,0.16440045677319656,1.97,-0.8,short,,,,,,,,,
2026-07-24,B,002599,,-0.14285714285714285,,,-0.8,0.3956285944053227,5.87,-0.8,short,,,,,,,,,
2026-07-24,B,002955,,-0.14285714285714285,,,-0.8,0.8767103140574298,32.1,-0.8,short,,,,,,,,,
2026-07-24,B,003041,,-0.14285714285714285,,,-0.8,3.4911968465713867,33.82,-0.8,short,,,,,,,,,
2026-07-24,B,600189,,-0.14285714285714285,,,-0.8,0.6165209522511952,6.88,-0.8,short,,,,,,,,,
2026-07-24,B,600208,,-0.14285714285714285,,,-0.8,0.3926424328512396,2.76,-0.8,short,,,,,,,,,
2026-07-24,B,603615,,-0.14285714285714285,,,-0.8,1.175158522691904,14.48,-0.8,short,,,,,,,,,
2026-07-31,B,000656,,0.14285714285714285,,,1.0830834531041258,71.44340810419682,1.21,1.0830834531041258,long,,,,,,,,,
2026-07-31,B,002612,,0.14285714285714285,,,1.0830834531041258,36.38459092164358,14.79,1.0830834531041258,long,,,,,,,,,
2026-07-31,B,002705,,0.14285714285714285,,,1.0830834531041258,25.06511775448558,11.83,1.0830834531041258,long,,,,,,,,,
2026-07-31,B,600993,,0.14285714285714285,,,1.0830834531041258,86.95936149118675,25.01,1.0830834531041258,long,,,,,,,,,
2026-07-31,B,600551,,0.14285714285714285,,,1.0677867315392024,14.474507120774417,7.0,1.0677867315392024,long,,,,,,,,,
2026-07-31,B,600711,,0.14285714285714285,,,0.8866926801903992,20.07441011722585,10.64,0.8866926801903992,long,,,,,,,,,
2026-07-31,B,600987,,0.14285714285714285,,,0.8502052500810198,12.377873123042024,6.69,0.8502052500810198,long,,,,,,,,,
2026-07-31,B,002219,,-0.14285714285714285,,,-0.8,0.18265247951168104,2.08,-0.8,short,,,,,,,,,
2026-07-31,B,002599,,-0.14285714285714285,,,-0.8,0.43955197277028696,6.15,-0.8,short,,,,,,,,,
2026-07-31,B,002955,,-0.14285714285714285,,,-0.8,0.9740443062823436,31.6,-0.8,short,,,,,,,,,
2026-07-31,B,003041,,-0.14285714285714285,,,-0.8,3.6517681502902497,38.0,-0.8,short,,,,,,,,,
2026-07-31,B,600189,,-0.14285714285714285,,,-0.8,0.6849683737167993,7.3,-0.8,short,,,,,,,,,
2026-07-31,B,600208,,-0.14285714285714285,,,-0.8,0.4362344685931997,2.87,-0.8,short,,,,,,,,,
2026-07-31,B,603615,,-0.14285714285714285,,,-0.8,1.3056266800460368,15.01,-0.8,short,,,,,,,,,
2026-08-07,B,000656,,0.14285714285714285,,,1.2214926539281694,76.01527064105763,1.17,1.2214926539281694,long,,,,,,,,,
2026-08-07,B,002612,,0.14285714285714285,,,1.2214926539281694,35.382144418315114,15.54,1.2214926539281694,long,,,,,,,,,
2026-08-07,B,600551,,0.14285714285714285,,,1.2214926539281694,15.400897783983659,6.86,1.2214926539281694,long,,,,,,,,,
2026-08-07,B,600993,,0.14285714285714285,,,1.2214926539281694,98.12699950949478,23.46,1.2214926539281694,long,,,,,,,,,
2026-08-07,B,002705,,0.14285714285714285,,,1.211405720689743,26.6695529915183,12.06,1.211405720689743,long,,,,,,,,,
2026-08-07,B,600711,,0.14285714285714285,,,0.9454819076142957,23.03450578615326,11.84,0.9454819076142957,long,,,,,,,,,
2026-08-07,B,600987,,0.14285714285714285,,,0.886762809747218,12.584707941013944,6.67,0.886762809747218,long,,,,,,,,,
2026-08-07,B,002599,,-0.14285714285714285,,,-0.8,0.46768681032846465,6.13,-0.8,short,,,,,,,,,
2026-08-07,B,002721,,-0.14285714285714285,,,-0.8,0.5171039121462896,3.08,-0.8,short,,,,,,,,,
2026-08-07,B,002955,,-0.14285714285714285,,,-0.8,1.0363911369502279,34.65,-0.8,short,,,,,,,,,
2026-08-07,B,003041,,-0.14285714285714285,,,-0.8,3.71277958955183,42.81,-0.8,short,,,,,,,,,
2026-08-07,B,600189,,-0.14285714285714285,,,-0.8,0.7288118115718965,7.39,-0.8,short,,,,,,,,,
2026-08-07,B,600208,,-0.14285714285714285,,,-0.8,0.46415703277196646,3.09,-0.8,short,,,,,,,,,
2026-08-07,B,603615,,-0.14285714285714285,,,-0.8,1.389197566135831,16.26,-0.8,short,,,,,,,,,
2026-08-14,B,000656,,0.14285714285714285,,,1.1372403530195159,73.273046875,1.27,1.1372403530195159,long,,,,,,,,,
2026-08-14,B,002705,,0.14285714285714285,,,1.1372403530195159,25.70940459123171,11.57,1.1372403530195159,long,,,,,,,,,
2026-08-14,B,600551,,0.14285714285714285,,,1.1372403530195159,14.846574403359188,6.9,1.1372403530195159,long,,,,,,,,,
2026-08-14,B,600993,,0.14285714285714285,,,1.1372403530195159,102.1423640653613,23.34,1.1372403530195159,long,,,,,,,,,
2026-08-14,B,002612,,0.14285714285714285,,,1.1310530258440794,34.246022125314354,16.07,1.1310530258440794,long,,,,,,,,,
2026-08-14,B,600711,,0.14285714285714285,,,0.9565778417957029,22.891960749009723,11.7,0.9565778417957029,long,,,,,,,,,
2026-08-14,B,600987,,0.14285714285714285,,,0.9083512919306036,12.671452578419208,6.64,0.9083512919306036,long,,,,,,,,,
2026-08-14,B,002599,,-0.14285714285714285,,,-0.8,0.4508515593384771,6.03,-0.8,short,,,,,,,,,
2026-08-14,B,002721,,-0.14285714285714285,,,-0.8,0.5005030491021502,2.68,-0.8,short,,,,,,,,,
2026-08-14,B,002955,,-0.14285714285714285,,,-0.8,0.9990840796550706,34.87,-0.8,short,,,,,,,,,
2026-08-14,B,003041,,-0.14285714285714285,,,-0.8,3.7383757518372787,43.46,-0.8,short,,,,,,,,,
2026-08-14,B,600189,,-0.14285714285714285,,,-0.8,0.7025769066016595,7.61,-0.8,short,,,,,,,,,
2026-08-14,B,600208,,-0.14285714285714285,,,-0.8,0.4474485600542295,3.06,-0.8,short,,,,,,,,,
2026-08-14,B,603615,,-0.14285714285714285,,,-0.8,1.9384126976981821,17.15,-0.8,short,,,,,,,,,
2026-08-20,B,000656,,0.14285714285714285,,,1.1484862483256493,72.93964335340436,1.26,1.1484862483256493,long,,,,,,,,,
2026-08-20,B,002612,,0.14285714285714285,,,1.1484862483256493,33.97878379691991,15.48,1.1484862483256493,long,,,,,,,,,
2026-08-20,B,002705,,0.14285714285714285,,,1.1484862483256493,25.59402234485009,11.3,1.1484862483256493,long,,,,,,,,,
2026-08-20,B,600993,,0.14285714285714285,,,1.1484862483256493,101.7658895673321,23.49,1.1484862483256493,long,,,,,,,,,
2026-08-20,B,600551,,0.14285714285714285,,,1.1174691650853892,14.779934772296018,6.98,1.1174691650853892,long,,,,,,,,,
2026-08-20,B,600711,,0.14285714285714285,,,1.006228697252134,23.35250203601484,11.64,1.006228697252134,long,,,,,,,,,
2026-08-20,B,600987,,0.14285714285714285,,,0.8540288764967796,12.106808563523972,6.53,0.8540288764967796,long,,,,,,,,,
2026-08-20,B,002599,,-0.14285714285714285,,,-0.8,0.4488279680638015,5.87,-0.8,short,,,,,,,,,
2026-08-20,B,002721,,-0.14285714285714285,,,-0.8,0.49659488034197363,2.59,-0.8,short,,,,,,,,,
2026-08-20,B,002955,,-0.14285714285714285,,,-0.8,0.9945997821209891,34.83,-0.8,short,,,,,,,,,
2026-08-20,B,003041,,-0.14285714285714285,,,-0.8,3.6578125515815905,40.56,-0.8,short,,,,,,,,,
2026-08-20,B,600189,,-0.14285714285714285,,,-0.8,0.6994234886002381,7.47,-0.8,short,,,,,,,,,
2026-08-20,B,600208,,-0.14285714285714285,,,-0.8,0.4454402827319996,2.98,-0.8,short,,,,,,,,,
2026-08-20,B,603615,,-0.14285714285714285,,,-0.8,1.9297119731917254,17.14,-0.8,short,,,,,,,,,
2025-06-06,B_L,000411,,0.14285714285714285,,,1.368064009148891,28.792200639013775,10.56,1.368064009148891,long,,,,,,,,,
2025-06-06,B_L,002705,,0.14285714285714285,,,1.368064009148891,38.428491201253784,14.35,1.368064009148891,long,,,,,,,,,
2025-06-06,B_L,600531,,0.14285714285714285,,,1.368064009148891,19.174235126012135,7.68,1.368064009148891,long,,,,,,,,,
2025-06-06,B_L,603214,,0.14285714285714285,,,1.368064009148891,52.45306359051201,19.96,1.368064009148891,long,,,,,,,,,
2025-06-06,B_L,600711,,0.14285714285714285,,,1.262861217698394,12.988823389588783,5.74,1.262861217698394,long,,,,,,,,,
2025-06-06,B_L,000501,,0.14285714285714285,,,1.143414454370204,19.462203245681454,9.08,1.143414454370204,long,,,,,,,,,
2025-06-06,B_L,603367,,0.14285714285714285,,,1.010276111490363,29.933011300091504,14.89,1.010276111490363,long,,,,,,,,,
2025-06-13,B_L,000411,,0.14285714285714285,,,1.3440038339023066,28.397926728986093,10.53,1.3440038339023066,long,,,,,,,,,
2025-06-13,B_L,002705,,0.14285714285714285,,,1.3440038339023066,37.66810595704609,13.71,1.3440038339023066,long,,,,,,,,,
2025-06-13,B_L,600531,,0.14285714285714285,,,1.3440038339023066,19.602862764986305,7.84,1.3440038339023066,long,,,,,,,,,
2025-06-13,B_L,603214,,0.14285714285714285,,,1.3440038339023066,51.95158810031476,18.98,1.3440038339023066,long,,,,,,,,,
2025-06-13,B_L,000501,,0.14285714285714285,,,1.259809279836909,19.27617315700883,8.53,1.259809279836909,long,,,,,,,,,
2025-06-13,B_L,600711,,0.14285714285714285,,,1.2437412688205427,13.14832383528838,5.86,1.2437412688205427,long,,,,,,,,,
2025-06-13,B_L,002563,,0.14285714285714285,,,1.0674110805893475,10.812559951482289,5.23,1.0674110805893475,long,,,,,,,,,
2025-06-20,B_L,000411,,0.14285714285714285,,,1.3268536762812575,27.721544724156406,10.22,1.3268536762812575,long,,,,,,,,,
2025-06-20,B_L,002705,,0.14285714285714285,,,1.3268536762812575,37.02339173414444,13.51,1.3268536762812575,long,,,,,,,,,
2025-06-20,B_L,600531,,0.14285714285714285,,,1.3268536762812575,18.904349675081637,7.33,1.3268536762812575,long,,,,,,,,,
2025-06-20,B_L,603214,,0.14285714285714285,,,1.3268536762812575,48.96544862123612,18.24,1.3268536762812575,long,,,,,,,,,
2025-06-20,B_L,603518,,0.14285714285714285,,,1.1910620339727278,21.71342475666973,9.91,1.1910620339727278,long,,,,,,,,,
2025-06-20,B_L,000501,,0.14285714285714285,,,1.1732296933909012,18.168200236747932,8.36,1.1732296933909012,long,,,,,,,,,
