date,variant,equity,day_return,long_ret,short_ret,equity_long,equity_short,n_long,n_short,position_scale
2026-03-10,Q_L,1441973.6699250033,0.013551842870839149,0.013551842870839149,0.0,1441973.6699250033,1000000.0,10,0,
2026-03-11,Q_L,1430246.7728241642,-0.008132532060345378,-0.008132532060345378,0.0,1430246.7728241642,1000000.0,10,0,
2026-03-12,Q_L,1413295.9768922252,-0.011851658227110007,-0.011851658227110007,0.0,1413295.9768922252,1000000.0,10,0,
2026-03-13,Q_L,1411943.8978057595,-0.0009566850175566345,-0.0009566850175566345,0.0,1411943.8978057595,1000000.0,10,0,
2026-03-16,Q_L,1387628.9398153296,-0.01722090943430302,-0.01722090943430302,0.0,1387628.9398153296,1000000.0,10,0,
2026-03-17,Q_L,1380414.8601711208,-0.005198853553147165,-0.005198853553147165,0.0,1380414.8601711208,1000000.0,10,0,
2026-03-18,Q_L,1379449.7730508468,-0.0006991283186813186,-0.0006991283186813186,0.0,1379449.7730508468,1000000.0,10,0,
2026-03-19,Q_L,1335199.3664432962,-0.03207830214048647,-0.03207830214048647,0.0,1335199.3664432962,1000000.0,10,0,
2026-03-20,Q_L,1318397.9693528917,-0.012583436985264642,-0.012583436985264642,0.0,1318397.9693528917,1000000.0,10,0,
2026-03-23,Q_L,1251333.3964477049,-0.050868231341484924,-0.050868231341484924,0.0,1251333.3964477049,1000000.0,10,0,
2026-03-24,Q_L,1295903.6232110672,0.03561818687960257,0.03561818687960257,0.0,1295903.6232110672,1000000.0,10,0,
2026-03-25,Q_L,1321491.7795801638,0.019745416179709943,0.019745416179709943,0.0,1321491.7795801638,1000000.0,10,0,
2026-03-26,Q_L,1310953.127810215,-0.007974814473153003,-0.007974814473153003,0.0,1310953.127810215,1000000.0,10,0,
2026-03-27,Q_L,1330370.9234496134,0.01481196789379754,0.01481196789379754,0.0,1330370.9234496134,1000000.0,10,0,
2026-03-30,Q_L,1348128.274805096,0.013347669467578527,0.013347669467578527,0.0,1348128.274805096,1000000.0,10,0,
2026-03-31,Q_L,1347319.3978402128,0.0,0.0,0.0,1347319.3978402128,1000000.0,10,0,
2026-04-01,Q_L,1386004.4804524442,0.028712629443504348,0.028712629443504348,0.0,1386004.4804524442,1000000.0,10,0,
2026-04-02,Q_L,1362311.698538038,-0.017094303985707215,-0.017094303985707215,0.0,1362311.698538038,1000000.0,10,0,
2026-04-03,Q_L,1335610.3083929534,-0.01960005935039623,-0.01960005935039623,0.0,1335610.3083929534,1000000.0,10,0,
2026-04-07,Q_L,1350060.3123610013,0.010819026985075298,0.010819026985075298,0.0,1350060.3123610013,1000000.0,10,0,
2026-04-08,Q_L,1396233.3841858103,0.0342007474792449,0.0342007474792449,0.0,1396233.3841858103,1000000.0,10,0,
2026-04-09,Q_L,1380032.3085139468,-0.011603415199322687,-0.011603415199322687,0.0,1380032.3085139468,1000000.0,10,0,
2026-04-10,Q_L,1403823.671545309,0.017239714523047168,0.017239714523047168,0.0,1403823.671545309,1000000.0,10,0,
2026-04-13,Q_L,1425316.1395018382,0.015309948387514205,0.015309948387514205,0.0,1425316.1395018382,1000000.0,10,0,
2026-04-14,Q_L,1438264.7105012226,0.009084701029141395,0.009084701029141395,0.0,1438264.7105012226,1000000.0,10,0,
2026-04-15,Q_L,1445301.6984159397,0.0048926931623489486,0.0048926931623489486,0.0,1445301.6984159397,1000000.0,10,0,
2026-04-16,Q_L,1471301.8386307433,0.017989420647121546,0.017989420647121546,0.0,1471301.8386307433,1000000.0,10,0,
2026-04-17,Q_L,1485150.2087837702,0.009412324371126171,0.009412324371126171,0.0,1485150.2087837702,1000000.0,10,0,
2026-04-20,Q_L,1511061.2677458795,0.017446759801709733,0.017446759801709733,0.0,1511061.2677458795,1000000.0,10,0,
2026-04-21,Q_L,1541022.4222722002,0.019827888627583723,0.019827888627583723,0.0,1541022.4222722002,1000000.0,10,0,
2026-04-22,Q_L,1559012.1007057382,0.011673858974104011,0.011673858974104011,0.0,1559012.1007057382,1000000.0,10,0,
2026-04-23,Q_L,1545091.327942826,-0.008929226884518913,-0.008929226884518913,0.0,1545091.327942826,1000000.0,10,0,
2026-04-24,Q_L,1551113.8304543798,0.003897829469777724,0.003897829469777724,0.0,1551113.8304543798,1000000.0,10,0,
2026-04-27,Q_L,1548013.5230696485,-0.0019987620017694156,-0.0019987620017694156,0.0,1548013.5230696485,1000000.0,10,0,
2026-04-28,Q_L,1508205.2622239245,-0.025715706130774542,-0.025715706130774542,0.0,1508205.2622239245,1000000.0,10,0,
2026-04-29,Q_L,1520230.7803670766,0.007973396224211527,0.007973396224211527,0.0,1520230.7803670766,1000000.0,10,0,
2026-04-30,Q_L,1519318.6418988563,0.0,0.0,0.0,1519318.6418988563,1000000.0,10,0,
2026-05-06,Q_L,1539785.240755432,0.013470906162907605,0.013470906162907605,0.0,1539785.240755432,1000000.0,10,0,
2026-05-07,Q_L,1544496.432030479,0.003059641793121559,0.003059641793121559,0.0,1544496.432030479,1000000.0,10,0,
2026-05-08,Q_L,1552397.375879679,0.005115546844490372,0.005115546844490372,0.0,1552397.375879679,1000000.0,10,0,
2026-05-11,Q_L,1552177.201982817,-0.0001418283103817421,-0.0001418283103817421,0.0,1552177.201982817,1000000.0,10,0,
2026-05-12,Q_L,1560229.9264634887,0.005188018784443562,0.005188018784443562,0.0,1560229.9264634887,1000000.0,10,0,
2026-05-13,Q_L,1549631.572752214,-0.00679281529697191,-0.00679281529697191,0.0,1549631.572752214,1000000.0,10,0,
2026-05-14,Q_L,1519650.5278347677,-0.019347208358822247,-0.019347208358822247,0.0,1519650.5278347677,1000000.0,10,0,
2026-05-15,Q_L,1494459.1009634929,-0.016577118495242557,-0.016577118495242557,0.0,1494459.1009634929,1000000.0,10,0,
2026-05-18,Q_L,1482260.7972882274,-0.008162353635105302,-0.008162353635105302,0.0,1482260.7972882274,1000000.0,10,0,
2026-05-19,Q_L,1479968.9595272962,-0.0015461771404357556,-0.0015461771404357556,0.0,1479968.9595272962,1000000.0,10,0,
2026-05-20,Q_L,1455562.7805811625,-0.016491007320808306,-0.016491007320808306,0.0,1455562.7805811625,1000000.0,10,0,
2026-05-21,Q_L,1428567.160393691,-0.018546517228678443,-0.018546517228678443,0.0,1428567.160393691,1000000.0,10,0,
2026-05-22,Q_L,1444427.1654502836,0.011102036709441012,0.011102036709441012,0.0,1444427.1654502836,1000000.0,10,0,
2026-05-25,Q_L,1446918.5533506256,0.0017248276409737257,0.0017248276409737257,0.0,1446918.5533506256,1000000.0,10,0,
2026-05-26,Q_L,1463932.735681851,0.011758908123629851,0.011758908123629851,0.0,1463932.735681851,1000000.0,10,0,
2026-05-27,Q_L,1426249.7610677062,-0.025740919439576116,-0.025740919439576116,0.0,1426249.7610677062,1000000.0,10,0,
2026-05-28,Q_L,1404000.6072654296,-0.015599759880499931,-0.015599759880499931,0.0,1404000.6072654296,1000000.0,10,0,
2026-05-29,Q_L,1403158.2069010702,0.0,0.0,0.0,1403158.2069010702,1000000.0,10,0,
2026-06-01,Q_L,1414971.1821097715,0.008418847675623776,0.008418847675623776,0.0,1414971.1821097715,1000000.0,10,0,
2026-06-02,Q_L,1431387.9207715194,0.01160217173983007,0.01160217173983007,0.0,1431387.9207715194,1000000.0,10,0,
2026-06-03,Q_L,1419710.7358833537,-0.008157945668475174,-0.008157945668475174,0.0,1419710.7358833537,1000000.0,10,0,
2026-06-04,Q_L,1385516.990259406,-0.024085008839967836,-0.024085008839967836,0.0,1385516.990259406,1000000.0,10,0,
2026-06-05,Q_L,1379078.2776775681,-0.004647155269191072,-0.004647155269191072,0.0,1379078.2776775681,1000000.0,10,0,
2026-06-08,Q_L,1326662.1411988314,-0.03800809375883144,-0.03800809375883144,0.0,1326662.1411988314,1000000.0,10,0,
2026-06-09,Q_L,1330216.6194356326,0.002679264091752275,0.002679264091752275,0.0,1330216.6194356326,1000000.0,10,0,
2026-06-10,Q_L,1321146.0075002923,-0.006818898367988168,-0.006818898367988168,0.0,1321146.0075002923,1000000.0,10,0,
2026-06-11,Q_L,1325553.8392625938,0.0033363698919557927,0.0033363698919557927,0.0,1325553.8392625938,1000000.0,10,0,
2026-06-12,Q_L,1373633.3143725323,0.03627123522699404,0.03627123522699404,0.0,1373633.3143725323,1000000.0,10,0,
2026-06-15,Q_L,1412629.3395275348,0.028388962867296072,0.028388962867296072,0.0,1412629.3395275348,1000000.0,10,0,
2026-06-16,Q_L,1403180.905597191,-0.006688544309509903,-0.006688544309509903,0.0,1403180.905597191,1000000.0,10,0,
2026-06-17,Q_L,1392099.6150955749,-0.007897264320953735,-0.007897264320953735,0.0,1392099.6150955749,1000000.0,10,0,
2026-06-18,Q_L,1385748.477925753,-0.004562272053631734,-0.004562272053631734,0.0,1385748.477925753,1000000.0,10,0,
2026-06-22,Q_L,1423174.9502867,0.027008128067344806,0.027008128067344806,0.0,1423174.9502867,1000000.0,10,0,
2026-06-23,Q_L,1399228.9464452972,-0.016825762592700744,-0.016825762592700744,0.0,1399228.9464452972,1000000.0,10,0,
2026-06-24,Q_L,1392240.5161072,-0.004994486682005261,-0.004994486682005261,0.0,1392240.5161072,1000000.0,10,0,
2026-06-25,Q_L,1350994.5166032019,-0.029625627919035696,-0.029625627919035696,0.0,1350994.5166032019,1000000.0,10,0,
2026-06-26,Q_L,1314415.3973178389,-0.027075697818029484,-0.027075697818029484,0.0,1314415.3973178389,1000000.0,10,0,
2026-06-29,Q_L,1339657.7236631315,0.01920422295478398,0.01920422295478398,0.0,1339657.7236631315,1000000.0,10,0,
2026-06-30,Q_L,1338853.9290289336,0.0,0.0,0.0,1338853.9290289336,1000000.0,10,0,
2026-07-01,Q_L,1382475.9462102402,0.03258161046212519,0.03258161046212519,0.0,1382475.9462102402,1000000.0,10,0,
2026-07-02,Q_L,1392432.9321280043,0.007202285106702068,0.007202285106702068,0.0,1392432.9321280043,1000000.0,10,0,
2026-07-03,Q_L,1415957.5276328332,0.01689459862808424,0.01689459862808424,0.0,1415957.5276328332,1000000.0,10,0,
2026-07-06,Q_L,1403361.8797964724,-0.008895498339853536,-0.008895498339853536,0.0,1403361.8797964724,1000000.0,10,0,
2026-07-07,Q_L,1371700.1447072783,-0.022561347536236332,-0.022561347536236332,0.0,1371700.1447072783,1000000.0,10,0,
2026-07-08,Q_L,1357545.977815065,-0.010318703360079983,-0.010318703360079983,0.0,1357545.977815065,1000000.0,10,0,
2026-07-09,Q_L,1361120.5601094235,0.0026331206108479066,0.0026331206108479066,0.0,1361120.5601094235,1000000.0,10,0,
2026-07-10,Q_L,1365786.154129604,0.0034277595658428472,0.0034277595658428472,0.0,1365786.154129604,1000000.0,10,0,
2026-07-13,Q_L,1356144.9105104997,-0.007059116531495867,-0.007059116531495867,0.0,1356144.9105104997,1000000.0,10,0,
2026-07-14,Q_L,1389403.894735771,0.024524653646896398,0.024524653646896398,0.0,1389403.894735771,1000000.0,10,0,
2026-07-15,Q_L,1383546.4684831887,-0.004215783671526507,-0.004215783671526507,0.0,1383546.4684831887,1000000.0,10,0,
2026-07-16,Q_L,1391731.3562498388,0.005915874857187478,0.005915874857187478,0.0,1391731.3562498388,1000000.0,10,0,
2026-07-17,Q_L,1339905.3226973447,-0.037238532651980065,-0.037238532651980065,0.0,1339905.3226973447,1000000.0,10,0,
2026-07-20,Q_L,1348168.1457816195,0.00616672159167261,0.00616672159167261,0.0,1348168.1457816195,1000000.0,10,0,
2026-07-21,Q_L,1382590.722524353,0.025532851262241182,0.025532851262241182,0.0,1382590.722524353,1000000.0,10,0,
2026-07-22,Q_L,1401654.9261795904,0.013788754216743072,0.013788754216743072,0.0,1401654.9261795904,1000000.0,10,0,
2026-07-23,Q_L,1426866.6711500792,0.01798712685953825,0.01798712685953825,0.0,1426866.6711500792,1000000.0,10,0,
2026-07-24,Q_L,1373687.4825680424,-0.037269907313185364,-0.037269907313185364,0.0,1373687.4825680424,1000000.0,10,0,
2026-07-27,Q_L,1410371.2721639425,0.026704610809528198,0.026704610809528198,0.0,1410371.2721639425,1000000.0,10,0,
2026-07-28,Q_L,1418094.536063241,0.005476050208714711,0.005476050208714711,0.0,1418094.536063241,1000000.0,10,0,
2026-07-29,Q_L,1437239.8030529793,0.01350069865080168,0.01350069865080168,0.0,1437239.8030529793,1000000.0,10,0,
2026-07-30,Q_L,1454501.2905393052,0.012010165213667944,0.012010165213667944,0.0,1454501.2905393052,1000000.0,10,0,
2026-07-31,Q_L,1453628.5897649815,0.0,0.0,0.0,1453628.5897649815,1000000.0,10,0,
