date,track,equity,cash,holding,holding_name,shares,target,target_name,target_strength,action,reason,switched,rebalance,day_return
2026-02-25,1,87332.99,1064.99,600961,株冶集团,3900,600961,株冶集团,100,switch,,True,True,0.03259765978555862
2026-02-26,1,87488.99,1064.99,600961,株冶集团,3900,600961,株冶集团,61,hold,目标未变,False,True,0.001786266564330452
2026-02-27,1,93978.22,2776.22,002128,电投能源,3100,002128,电投能源,100,switch,,True,True,0.07417196152338712
2026-03-02,1,99558.22,2776.22,002128,电投能源,3100,002128,电投能源,100,hold,目标未变,False,True,0.059375459547967635
2026-03-03,1,99358.85,2653.85,600989,宝丰能源,3500,600989,宝丰能源,100,switch,,True,True,-0.00200254685148038
2026-03-04,1,93972.79,876.79,000933,神火股份,2700,000933,神火股份,100,switch,,True,True,-0.0542081555895626
2026-03-05,1,96136.27,2031.27,002128,电投能源,2900,002128,电投能源,94,switch,,True,True,0.02302240893347962
2026-03-06,1,94381.04,177.04,600131,国网信通,4400,600131,国网信通,100,switch,,True,True,-0.018257729366866537
2026-03-09,1,98058.06,2748.06,000933,神火股份,2700,000933,神火股份,100,switch,,True,True,0.03895930792879598
2026-03-10,1,93879.97,189.97,002345,潮宏基,9000,002345,潮宏基,69,switch,,True,True,-0.04260832816802618
2026-03-11,1,91439.64,621.64,000933,神火股份,2600,000933,神火股份,100,switch,,True,True,-0.025994149763788776
2026-03-12,1,96899.64,621.64,000933,神火股份,2600,000933,神火股份,100,hold,目标未变,False,True,0.05971152117396783
2026-03-13,1,93858.97,527.97,002170,芭田股份,6700,002170,芭田股份,100,switch,,True,True,-0.031379579944775804
2026-03-16,1,90476.93,476.93,002345,潮宏基,9000,002345,潮宏基,66,switch,,True,True,-0.036033210251508296
2026-03-17,1,89209.19,291.19,600961,株冶集团,4600,600961,株冶集团,75,switch,,True,True,-0.014011748630286092
2026-03-18,1,87549.17,431.17,002345,潮宏基,8600,002345,潮宏基,90,switch,,True,True,-0.01860817254365843
2026-03-19,1,85134.03,777.03,600131,国网信通,3900,600131,国网信通,100,switch,,True,True,-0.02758609818916613
2026-03-20,1,80210.52,562.52,600993,马应龙,3200,600993,马应龙,52,switch,,True,True,-0.05783245548225535
2026-03-23,1,77821.3,21.3,600989,宝丰能源,2500,600989,宝丰能源,100,switch,,True,True,-0.029786865862482914
2026-03-24,1,75937.89,545.89,002345,潮宏基,7600,002345,潮宏基,100,switch,,True,True,-0.02420172883259475
2026-03-25,1,76462.33,620.33,002128,电投能源,2600,002128,电投能源,78,switch,,True,True,0.006906170292590552
2026-03-26,1,75392.16,1084.16,000933,神火股份,2600,000933,神火股份,71,switch,,True,True,-0.013996042234130202
2026-03-27,1,78330.16,1084.16,000933,神火股份,2600,000933,神火股份,100,hold,目标未变,False,True,0.03896956924964079
2026-03-30,1,81554.16,1084.16,000933,神火股份,2600,000933,神火股份,100,hold,目标未变,False,True,0.041159114190498336
2026-03-31,1,78946.27,499.27,002345,潮宏基,7900,002345,潮宏基,68,switch,,True,True,-0.03197740004924332
2026-04-01,1,82185.27,499.27,002345,潮宏基,7900,002345,潮宏基,100,hold,目标未变,False,True,0.04102790416823998
2026-04-02,1,80754.03,882.03,000933,神火股份,2600,000933,神火股份,100,switch,,True,True,-0.01741479951334346
2026-04-03,1,78640.68,1713.68,600131,国网信通,4300,600131,国网信通,77,switch,,True,True,-0.026170210947986217
2026-04-07,1,77611.48,2899.48,000933,神火股份,2400,000933,神火股份,100,switch,,True,True,-0.01308737411731431
2026-04-08,1,82563.63,2407.63,601168,西部矿业,2900,601168,西部矿业,100,switch,,True,True,0.06380692650107966
2026-04-09,1,81055.52,639.52,600989,宝丰能源,2800,600989,宝丰能源,100,switch,,True,True,-0.01826603311894115
2026-04-10,1,81666.17,144.17,002170,芭田股份,6300,002170,芭田股份,76,switch,,True,True,0.0075337250319287286
2026-04-13,1,80947.46,955.46,600961,株冶集团,4400,600961,株冶集团,81,switch,,True,True,-0.008800584134164624
2026-04-14,1,81738.37,426.37,000933,神火股份,2400,000933,神火股份,96,switch,,True,True,0.009770658646979014
2026-04-15,1,79204.45,3124.45,002128,电投能源,2400,002128,电投能源,100,switch,,True,True,-0.03100037350879392
2026-04-16,1,81469.92,2188.92,000933,神火股份,2300,000933,神火股份,100,switch,,True,True,0.02860281208947235
