date,rank,股票代码,symbol,name,strategy_id,sell_price,high,momentum,momentum_pct
2025-12-09,1,300866,300866,安克创新,grid_sell,108.39150000000001,108.78,0.0035842293906809424,0.35842293906809425
2025-12-10,1,300866,300866,安克创新,grid_sell,108.39150000000001,109.65,0.01161068903004385,1.161068903004385
2025-12-11,1,300866,300866,安克创新,grid_sell,108.39150000000001,111.8,0.031446192736515215,3.1446192736515215
2025-12-12,1,300866,300866,安克创新,grid_sell,108.39150000000001,111.0,0.02406554019457238,2.406554019457238
2025-12-15,1,300866,300866,安克创新,grid_sell,108.39150000000001,115.0,0.0609688029042867,6.09688029042867
2025-12-16,1,300866,300866,安克创新,grid_sell,108.39150000000001,111.18,0.025726187016509586,2.5726187016509585
2025-12-17,1,300866,300866,安克创新,grid_sell,108.39150000000001,110.89,0.02305070047005524,2.305070047005524
2025-12-18,1,300866,300866,安克创新,grid_sell,108.39150000000001,110.87,0.022866184156506705,2.2866184156506706
2025-12-19,1,300866,300866,安克创新,grid_sell,108.39150000000001,116.98,0.07923591794559533,7.923591794559533
2025-12-22,1,300866,300866,安克创新,grid_sell,108.39150000000001,116.62,0.07591462430172104,7.591462430172104
2025-12-23,1,300866,300866,安克创新,grid_sell,108.39150000000001,118.98,0.09768754930045248,9.768754930045247
2025-12-24,1,300866,300866,安克创新,grid_sell,108.39150000000001,118.35,0.09187528542367239,9.18752854236724
2025-12-25,1,300866,300866,安克创新,grid_sell,108.39150000000001,118.0,0.08864624993657244,8.864624993657245
2025-12-26,1,300866,300866,安克创新,grid_sell,108.39150000000001,114.98,0.06078428659073817,6.078428659073817
2025-12-29,1,300866,300866,安克创新,grid_sell,108.39150000000001,114.79,0.059031381612026756,5.903138161202675
2025-12-30,1,300866,300866,安克创新,grid_sell,108.39150000000001,114.8,0.05912363976880096,5.912363976880096
2025-12-31,1,300866,300866,安克创新,grid_sell,108.39150000000001,114.99,0.06087654474751237,6.087654474751237
2026-01-05,1,300866,300866,安克创新,grid_sell,108.39150000000001,115.13,0.06216815894235237,6.216815894235237
2026-01-05,2,000807,000807,云铝股份,grid_sell,33.5265,34.71,0.03530043398505667,3.5300433985056667
2026-01-06,1,300866,300866,安克创新,grid_sell,108.39150000000001,116.2,0.07203978171720102,7.2039781717201015
2026-01-06,2,000807,000807,云铝股份,grid_sell,33.5265,35.85,0.06930338687307064,6.930338687307064
2026-01-07,1,000807,000807,云铝股份,grid_sell,33.5265,34.85,0.039476235216918044,3.9476235216918045
2026-01-07,2,300866,300866,安克创新,grid_sell,108.39150000000001,111.4,0.027755866465543864,2.7755866465543866
