rank,asof,symbol,stock_name,upside,upside_raw,fair_price,close,pe_ttm,pe_ref,industry,undervalued
20,2026-08-07,002586,ST围海,1.1842843808146184,1.1842843808146184,8.212909271862964,3.76,16.1769,35.33495,建筑工程,True
21,2026-08-07,601949,中国出版,1.1730462109113389,1.1730462109113389,11.47368399361187,5.28,17.4699,37.9629,出版业,True
22,2026-08-07,603969,银龙股份,1.1087454034417248,1.1087454034417248,15.752328163709684,7.47,18.0026,37.9629,其他建材,True
23,2026-08-07,603231,索宝蛋白,1.0862749344305684,1.0862749344305684,32.066045742197836,15.37,16.6236,34.6814,食品,True
24,2026-08-07,002380,科远智慧,1.0852272349516543,1.0852272349516543,60.47158981359797,29.0,45.1229,94.0915,软件服务,True
25,2026-08-07,002946,新乳业,1.0802044976328244,1.0802044976328244,34.59380079563387,16.63,18.2496,37.9629,乳制品,True
26,2026-08-07,000100,TCL科技,0.9004159971165542,0.9004159971165542,9.236021745986454,4.86,19.9761,37.9629,元器件,True
27,2026-08-07,002315,焦点科技,0.8434767484835968,0.8434767484835968,50.32691523360219,27.3,22.9985,42.3972,互联网,True
28,2026-08-07,002226,江南化工,0.8272537537455289,0.8272537537455289,9.264176531489833,5.07,18.2551,33.356700000000004,化工原料,True
29,2026-08-07,605016,百龙创园,0.5783428069520735,0.5783428069520735,33.66605207228773,21.33,21.9733,34.6814,食品,True
30,2026-08-07,002967,广电计量,0.5023625973532577,0.5023625973532577,25.915754804343695,17.25,25.2688,37.9629,电器仪表,True
31,2026-08-07,600961,株冶集团,0.49731917876562237,0.49731917876562237,44.021183855709296,29.4,15.8347,23.709600000000002,铅锌,True
32,2026-08-07,600576,祥源文旅,0.40072841486233624,0.40072841486233624,7.760035418337343,5.54,56.8632,79.6499,旅游景点,True
33,2026-08-07,600197,伊力特,0.3738496335836423,0.3738496335836423,14.205605211254861,10.34,27.6325,37.9629,白酒,True
34,2026-08-07,002457,青龙管业,0.3523066894171205,0.3523066894171205,14.645481446387416,10.83,28.0727,37.9629,塑料,True
35,2026-08-07,003816,中国广核,0.31788009133875006,0.31788009133875006,5.126553555307738,3.89,20.7141,27.2987,新型电力,True
36,2026-08-07,603755,日辰股份,0.31351525365955246,0.31351525365955246,29.803661105535248,22.69,26.4035,34.6814,食品,True
37,2026-08-07,600531,豫光金铅,0.3083179746388409,0.3083179746388409,17.76695809559546,13.58,18.1222,23.709600000000002,铅锌,True
38,2026-08-07,603589,口子窖,0.2351764124054816,0.2351764124054816,24.851749417598292,20.12,30.7348,37.9629,白酒,True
39,2026-08-07,000417,合百集团,0.21892007307824435,0.21892007307824435,7.264763635546336,5.96,31.1447,37.9629,百货,True
40,2026-08-07,605580,恒盛能源,0.19206252512057875,0.19206252512057875,21.993553588474676,18.45,31.8464,37.9629,供气供热,True
41,2026-08-07,600059,古越龙山,0.18778824191983978,0.18778824191983978,9.383527111166735,7.9,31.961,37.9629,红黄酒,True
42,2026-08-07,002443,金洲管道,0.1834411940745173,0.1834411940745173,11.041506340715246,9.33,32.0784,37.9629,钢加工,True
43,2026-08-07,601611,中国核建,0.17398490944671297,0.17398490944671297,13.723883591432074,11.69,30.0983,35.33495,建筑工程,True
44,2026-08-07,603031,安孚科技,0.14321698905017755,0.14321698905017755,45.614357863102086,39.9,51.7086,59.11415,电气设备,True
45,2026-08-07,002169,智光电气,0.14282358718178734,0.14282358718178734,14.753852510516875,12.91,51.7264,59.11415,电气设备,True
46,2026-08-07,603977,国泰集团,0.111678781031604,0.111678781031604,13.373495735810195,12.03,30.0057,33.356700000000004,化工原料,True
47,2026-08-07,002497,雅化集团,0.09678605759184178,0.09678605759184178,20.23570276256948,18.45,23.927,26.2428,小金属,True
48,2026-08-07,603588,高能环境,0.024106358537739014,0.024106358537739014,14.52182816406514,14.18,17.7588,18.1869,环境保护,True
49,2026-08-07,002434,万里扬,0.021909068884761185,0.021909068884761185,5.90663441815392,5.78,37.149,37.9629,汽车配件,True
50,2026-08-07,603045,福达合金,0.012445891621206462,0.012445891621206462,57.01082815719014,56.31,25.9202,26.2428,小金属,True
51,2026-08-07,000539,粤电力A,0.0,0.0,6.01,6.01,37.9629,37.9629,火力发电,False
52,2026-08-07,000681,视觉中国,0.0,0.0,18.4,18.4,42.3972,42.3972,互联网,False
53,2026-08-07,001313,粤海饲料,0.0,0.0,7.29,7.29,94.9898,94.9898,饲料,False
54,2026-08-07,002266,浙富控股,0.0,0.0,5.05,5.05,18.1869,18.1869,环境保护,False
55,2026-08-07,600459,贵研铂业,0.0,0.0,21.01,21.01,26.2428,26.2428,小金属,False
56,2026-08-07,600930,华电新能,0.0,0.0,4.19,4.19,27.2987,27.2987,新型电力,False
57,2026-08-07,603081,大丰实业,0.0,0.0,9.66,9.66,69.3577,69.3577,专用机械,False
58,2026-08-07,603099,长白山,0.0,0.0,38.91,38.91,79.6499,79.6499,旅游景点,False
59,2026-08-07,600965,*ST福成,-0.017149381364028327,-0.017149381364028327,2.525926089894447,2.57,38.6253,37.9629,农业综合,False
60,2026-08-07,603739,蔚蓝生物,-0.02270819925344325,-0.02270819925344325,11.717728690951215,11.99,38.845,37.9629,农业综合,False
61,2026-08-07,605589,圣泉集团,-0.09128874868215653,-0.09128874868215653,38.51118283085021,42.38,36.7077,33.356700000000004,化工原料,False
62,2026-08-07,002617,露笑科技,-0.11109081093923634,-0.11109081093923634,5.724575177551318,6.44,66.5019,59.11415,电气设备,False
63,2026-08-07,603257,中国瑞林,-0.12907181378106847,-0.12907181378106847,58.58733908694752,67.27,40.5716,35.33495,建筑工程,False
