排名,股票代码,股票名称,综合评分,当前价格,ROC_20,RSI_14,MACD_Hist,成交量比率,均线趋势,波动率,交易日
38,002625,002625,62.63095334106762,40.68,-4.507042253521131,48.22703773788778,0.6943807696999627,2.065736407890478,3.25266190337194,3.250887472080888,2026-04-14
39,688208,688208,62.14604716586677,35.64,6.039869086581384,57.5480213324824,0.6567654361523309,1.0050919324067835,6.207348690288184,3.6144003825407474,2026-04-14
40,603297,603297,62.09418910995614,109.58,-5.705188882196022,49.93130628952427,2.327741797082167,1.5093491028456278,3.5566286921227057,4.366947158190815,2026-04-14
41,603026,603026,61.93979650077503,98.52,31.35999999999999,70.72536230184012,-0.014013924605182027,0.6974289220263357,19.812473777339974,5.739706633034185,2026-04-14
42,603986,603986,61.634222306347915,280.01,-8.541285602299464,51.3903873282033,1.8125509164330005,1.2826937198147756,4.566401027701575,5.281788462432656,2026-04-14
43,603993,603993,60.97606996026565,19.56,1.0330578512396604,52.27156291422644,0.6744188452466138,1.064155392972837,7.964894850140761,4.339041308804522,2026-04-14
44,301101,301101,60.963637795325084,35.18,-1.5668718522663716,49.333099139895694,0.7712844378223287,1.6039877832850717,4.186101609583482,3.35731525646695,2026-04-14
45,000338,000338,60.96000864652595,26.18,6.639511201629333,51.19617700911514,0.6296570128546802,1.112653288095196,5.773504100844419,5.9124455549777375,2026-04-14
46,300750,300750,60.95631091612283,430.79,5.482370225269362,67.08907955141127,-1.4164707530146394,1.367566544105881,6.580667827007727,3.6464181611131923,2026-04-14
47,601677,601677,60.71953637927289,17.25,6.943583384996899,61.961544103512466,0.46442108282448313,0.9783835138404791,10.55211971673018,3.4988513912979378,2026-04-14
48,300124,300124,60.68599905825624,69.11,-3.7465181058495833,50.342906565066706,0.4270361473450772,1.3357277859852401,2.1377847731790838,2.691574189242394,2026-04-14
49,002271,002271,60.40142118707662,16.22,4.848093083387184,53.553092378547916,0.3380709828978512,1.10179138293941,5.177836137859414,4.341674510865035,2026-04-14
50,000807,000807,60.24886744040702,35.6,5.169867060561306,64.62981329455766,0.9283128893159452,0.7491194280622062,13.467943712250433,4.418394696974357,2026-04-14
51,601899,601899,60.006228871683604,34.8,0.14388489208632116,50.85406458922081,0.7162097377430037,1.0064323251761866,4.947300170388586,3.649187270648044,2026-04-14
52,300866,300866,59.6766679463279,114.55,16.023498430061768,61.438646317425295,0.29987201274666386,0.7596302784242163,6.968600443562485,4.686701549039767,2026-04-14
53,603129,603129,59.62984202826419,250.5,-2.5178036346655386,54.76643725113528,2.5692729582067257,0.8036791209190791,4.561467951179652,3.9278265588839427,2026-04-14
54,300285,300285,59.55335202140818,34.08,-8.852634394223058,56.683845723829464,0.6944737002661119,1.357535726075632,5.762964342239989,5.68183337839425,2026-04-14
55,300113,300113,58.93823548734721,29.0,7.407407407407418,54.971940956522324,0.04851309032419582,1.0230228766399014,3.866334771941774,6.661776910003157,2026-04-14
56,600570,600570,58.78276324464537,26.93,-1.571637426900585,50.097172812944294,0.38027461353745096,1.1084307528398565,3.405905617632422,2.567018721943015,2026-04-14
57,601100,601100,58.777170948132095,104.85,-0.5972696245733933,53.1719637756763,1.7199307949327363,0.9258498002316564,5.492979711340582,4.086754292228145,2026-04-14
58,601872,601872,58.74265342177177,18.53,10.626865671641795,56.28767323952795,-0.010800692546378166,1.0249128144222655,2.234482758620656,7.523471858221496,2026-04-14
59,002179,002179,58.33829515883036,36.51,3.2522624434389025,59.91731064915749,0.580076933478372,0.9383681884039288,5.818418955148135,2.9588890986772123,2026-04-14
60,603227,603227,58.16787328743647,10.13,13.18435754189946,61.35863910554998,0.07765158462024446,0.682313659100291,5.6528994576553995,4.125148881989241,2026-04-14
61,603267,603267,58.15940228975671,52.21,-6.097122302158276,51.028186156717645,1.073738234932105,1.1747897306623611,3.4107114561876264,3.8759085710607515,2026-04-14
62,600398,600398,57.982003886239156,6.66,5.882352941176472,63.814733297575366,0.04596705178450367,0.8575384837609576,5.055603754239308,2.5409750150450634,2026-04-14
