date,track,equity,cash,holding,holding_name,shares,target,target_name,target_strength,action,reason,switched,rebalance,day_return
2026-02-09,1,95968.96,368.96,600131,国网信通,5000,600131,国网信通,100,switch,,True,True,0.015723833582477864
2026-02-10,1,95764.19,1180.19,600989,宝丰能源,4200,600989,宝丰能源,63,switch,,True,True,-0.002133710733137062
2026-02-11,1,98093.71,1906.71,600131,国网信通,4900,600131,国网信通,100,switch,,True,True,0.024325585586846277
2026-02-12,1,96568.34,1348.34,600961,株冶集团,4500,600961,株冶集团,92,switch,,True,True,-0.015550130584315869
2026-02-13,1,92238.5,2090.5,000933,神火股份,3100,000933,神火股份,25,switch,,True,True,-0.04483705529162041
2026-02-24,1,94894.78,259.78,600961,株冶集团,4500,600961,株冶集团,83,switch,,True,True,0.02879795313236877
2026-02-25,1,99799.78,259.78,600961,株冶集团,4500,600961,株冶集团,100,hold,目标未变,False,True,0.05168882840552458
2026-02-26,1,99979.78,259.78,600961,株冶集团,4500,600961,株冶集团,61,hold,目标未变,False,True,0.0018036111903252383
2026-02-27,1,107584.78,259.78,600961,株冶集团,4500,600961,株冶集团,100,hold,目标未变,False,True,0.07606538041992095
2026-03-02,1,117304.78,259.78,600961,株冶集团,4500,600961,株冶集团,100,hold,目标未变,False,True,0.09034735210686873
2026-03-03,1,105604.78,259.78,600961,株冶集团,4500,600989,宝丰能源,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.09974018109065974
2026-03-04,1,104455.3,1015.3,000933,神火股份,3000,000933,神火股份,100,switch,,True,True,-0.010884734573567534
2026-03-05,1,106975.3,1015.3,000933,神火股份,3000,000933,神火股份,85,hold,目标未变,False,True,0.02412515209855326
2026-03-06,1,103472.42,704.42,600131,国网信通,4800,600131,国网信通,100,switch,,True,True,-0.03274475509767216
2026-03-09,1,107483.13,1583.13,000933,神火股份,3000,000933,神火股份,100,switch,,True,True,0.038761150072647466
2026-03-10,1,102841.73,1817.73,601168,西部矿业,3200,601168,西部矿业,68,switch,,True,True,-0.04318259060747498
2026-03-11,1,101228.77,3424.77,000933,神火股份,2800,000933,神火股份,100,switch,,True,True,-0.015683905745265014
2026-03-12,1,107108.77,3424.77,000933,神火股份,2800,000933,神火股份,100,hold,目标未变,False,True,0.05808625354234764
2026-03-13,1,103834.09,2944.09,600989,宝丰能源,3000,600989,宝丰能源,100,switch,,True,True,-0.030573406827470895
2026-03-16,1,102184.09,2944.09,600989,宝丰能源,3000,600989,宝丰能源,41,hold,目标未变,False,True,-0.01589073492145021
2026-03-17,1,98687.83,104.83,600961,株冶集团,5100,600961,株冶集团,75,switch,,True,True,-0.034215306903452314
2026-03-18,1,96847.35,175.35,600131,国网信通,4800,600131,国网信通,42,switch,,True,True,-0.018649513318916844
2026-03-19,1,103999.35,175.35,600131,国网信通,4800,600131,国网信通,100,hold,目标未变,False,True,0.07384817447250747
2026-03-20,1,97940.43,2517.43,601168,西部矿业,3700,601168,西部矿业,50,switch,,True,True,-0.058259210273910456
